Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
20631.177,2226.929,1454.717,2960.149,493.021,641,642.667,23.4,36.8,36.776,0.103,0
16693.427,2712.452,1263.77,2607.514,490.038,622,624.417,19.543,36.95,36.936,0.043,0
10367.811,2791.698,1207.6,1970.001,376.052,621.5,621.083,19.839,36.22,36.257,0.244,0
18460.76,2203.486,1249.411,2039.441,427.439,621,619.417,15.091,36.22,36.19,0.175,0
8041.901,1823.426,899.85,1279.115,279.27,621.5,629.5,20.855,36.8,36.749,0.067,0
14087.732,2573.036,927.917,1803.045,374.556,641,637.75,40.575,36.95,36.882,0.075,0
18746.819,2498.057,1622.925,3947.171,782.109,651,657.833,29.109,36.95,36.936,0.043,0
15343.164,1905.115,967.797,1624.299,302.578,651,646.167,22.067,36.95,36.95,0,0
10074.535,2079.027,828.732,1558.949,322.472,641,639.5,23.764,36.95,36.95,0,0
16870.725,1741.156,822.272,1558.766,294.251,641,644.5,24.527,36.95,36.95,0,0
15766.081,2073.765,1055.726,2599.99,638.196,661.5,659.583,23.489,36.51,36.564,0.273,0
19419.373,2049.27,929.415,1817.925,349.019,651,642.833,42,36.07,36.015,0.096,0
20994.307,2601.485,1189.4,2043.059,415.34,611,627.75,38.702,35.92,35.869,0.067,0
11349.271,1700.458,984.182,1609.384,348.528,671,666.25,54.154,35.78,35.766,0.043,0
11750.651,2214.13,861.45,1665.312,365.808,661,674.583,53.783,35.63,35.671,0.067,0
10876.688,2214.146,885.533,1786.995,427.657,641,652.75,32.283,35.63,35.616,0.1,0
10265.487,1866.028,1057.219,1635.267,373.122,631.5,632.833,34.212,35.34,36.564,1.397,0
12949.667,2075.393,876.199,1586.674,363.148,651.5,651.25,47.978,37.98,38.031,0.067,0
29652.635,2035.239,1316.341,2087.232,467.373,650.5,654.5,27.473,37.98,37.98,0,0
14554.355,2535.586,734.796,1204.352,289.456,641.5,644.5,16.065,37.98,37.98,0,0
28492.699,2426.426,1501.312,2289.562,485.608,641,646.167,27.331,38.12,38.095,0.054,0
21004.365,2092.527,1099.863,1633.053,331.247,660,646.083,21.785,38.12,38.095,0.054,0
23598.271,2364.394,1241.372,2367.056,468.624,641.5,644.583,29.287,38.12,38.12,0,0
11116.051,1993.208,1200.493,2460.79,502.367,622,637.833,27.76,38.12,38.12,0,0
12353.559,2422.735,1174.896,2541.305,511.992,641,639.417,19.272,38.12,38.107,0.04,0
19852.689,2837.123,887.934,2242.209,553.951,621.5,629.5,19.449,38.12,38.188,0.075,0
18392.053,2413.76,1357.771,3047.891,659.784,671,676.167,36.701,38.27,38.27,0,0
18925.688,2268.374,774.01,1784.258,420.541,671,672.833,27.574,38.27,38.284,0.043,0
18966.227,2291.443,1277.877,2474.168,442.116,661,662.75,26.221,38.27,38.297,0.058,0
18610.376,2101.136,1116.305,2273.036,459.419,641.5,652.833,23.671,38.42,38.352,0.075,0
23104.499,2655.948,1309.168,2435.006,580.442,650.5,651.083,30.151,38.27,38.311,0.067,0
7853.484,1780.317,815.291,1687.44,365.397,660.5,652.75,45.668,38.27,38.284,0.043,0
11964.843,1955.158,1009.988,1987.666,449.662,641.5,664.417,35.38,38.27,38.311,0.067,0
8068.787,2180.326,1166.599,2374.609,518.733,681,686.083,27.284,38.27,38.284,0.043,0
21936.676,2549.483,951.017,2102.777,458.927,651.5,659.417,39.763,38.27,38.27,0,0
11081.705,2583.349,1349.608,2681.428,546.258,641,654.333,24.948,38.27,38.284,0.043,0
9699.754,2160.401,1453.299,3671.368,888.822,641,656.083,45.966,38.27,38.297,0.058,0
12281.487,2022.89,1237.015,3063.728,523.685,680.5,677.75,38.121,38.27,38.311,0.067,0
10759.075,2476.929,1294.356,2821.403,482.893,651,657.667,26.697,38.27,38.27,0,0
12178.491,1904.747,1451.549,2525.364,474.456,621,617.75,21.284,38.27,38.27,0,0
7652.219,2283.491,938.544,1654.035,328.71,621,626.083,27.226,38.27,38.27,0,0
