0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,35-40min,40-45min
660,620,662,662,662,662,622,701,400
622,622,641,781,681,681,400,601,282
601,660,681,681,660,641,362,681,580
641,622,681,601,762,741,821,721,561
641,641,701,662,461,662,861,741,381
661,620,660,700,261,580,822,681,261
641,582,641,822,560,341,780,641,581
602,581,662,701,642,341,741,641,381
641,601,700,701,621,621,601,702,261
660,641,702,761,681,661,742,781,582
681,661,701,781,641,681,681,841,561
661,741,641,721,541,641,821,721,580
621,701,641,642,301,381,780,641,562
622,641,702,701,321,301,742,661,361
641,662,681,781,601,322,460,681,260
660,660,681,781,401,381,261,661,381
641,681,620,662,241,741,721,701,282
601,681,641,700,401,621,681,702,341
601,701,681,722,421,941,722,580,421
641,641,702,721,801,681,681,641,301
641,642,721,702,781,701,721,641,460
622,641,641,601,702,702,662,681,301
601,641,641,381,681,720,641,742,402
601,661,382,301,660,702,700,781,301
601,621,280,661,402,681,681,700,360
641,641,681,661,261,660,701,662,301
641,641,662,641,341,702,662,661,402
621,701,661,401,1100,801,400,721,721
601,741,641,242,642,761,322,782,721
601,701,641,641,701,701,541,760,781
622,661,681,641,781,681,341,701,661
641,681,641,701,801,701,261,661,681
660,681,622,661,681,702,580,702,742
622,702,621,682,741,620,362,781,781
601,700,661,681,782,821,261,761,801
601,702,701,721,821,661,660,681,620
641,641,662,641,821,701,822,660,381
641,661,421,581,701,761,861,702,422
621,661,240,662,681,702,701,721,721
601,741,641,700,741,540,701,741,781
602,721,662,662,721,482,781,721,761
601,681,401,661,741,301,882,701,641
620,661,301,621,721,721,861,661,681
641,681,641,621,662,680,840,762,661
622,721,601,381,641,702,742,801,741
601,742,641,301,660,641,660,741,761
621,681,641,662,762,681,681,700,722
621,641,662,580,921,681,682,681,761
641,620,681,681,841,701,701,742,800
662,641,642,642,761,661,722,841,842
621,642,660,681,701,441,700,741,821
621,661,662,561,701,261,662,681,701
621,601,882,761,721,601,641,701,761
662,621,700,662,701,681,641,742,821
660,641,642,721,721,681,381,800,781
601,681,700,841,681,721,261,721,721
601,701,742,701,702,681,700,702,641
622,641,741,682,741,662,781,681,681
620,661,641,700,761,700,822,720,722
622,641,641,742,721,762,760,721,801
601,681,662,741,641,721,681,681,721
582,681,681,582,681,660,662,642,741
561,622,701,740,701,402,641,681,881
641,641,681,701,741,261,381,761,901
641,620,662,662,701,681,341,921,781
701,641,681,1001,661,661,700,762,681
701,641,720,661,681,701,722,681,762
641,622,721,722,681,661,721,681,801
621,620,642,700,742,661,641,420,801
641,602,681,742,700,681,681,381,720
662,621,721,682,641,701,721,801,742
660,661,721,641,641,702,741,702,861
622,701,662,601,662,660,762,661,861
641,681,401,761,660,681,681,740,742
622,641,301,961,682,661,662,802,720
701,641,681,681,621,742,681,761,741
681,662,681,662,621,700,721,660,762
660,780,681,720,601,662,741,681,700
642,741,622,782,621,641,721,682,641
642,681,661,701,661,641,661,721,702
660,722,700,520,681,681,641,741,720
722,701,681,422,661,681,661,661,941
660,720,642,381,621,641,661,641,761
641,662,381,721,621,641,681,662,662
662,601,261,681,661,601,702,700,701
661,641,681,701,681,641,661,722,661
681,661,721,622,721,621,641,661,901
662,682,681,681,641,581,641,641,762
641,680,662,661,381,662,641,641,641
601,641,641,562,282,620,742,701,681
621,642,701,660,580,601,760,740,601
661,700,721,601,602,601,742,742,360
662,701,702,622,601,622,661,661,261
