X,Class
641.0,0
622.0,0
621.5,0
621.0,0
621.5,0
641.0,0
651.0,0
651.0,0
641.0,0
641.0,0
661.5,0
651.0,0
611.0,0
671.0,0
661.0,0
641.0,0
631.5,0
651.5,0
650.5,0
641.5,0
641.0,0
660.0,0
641.5,0
622.0,0
641.0,0
621.5,0
671.0,0
671.0,0
661.0,0
641.5,0
650.5,0
660.5,0
641.5,0
681.0,0
651.5,0
641.0,0
641.0,0
680.5,0
651.0,0
621.0,0
621.0,0
621.5,0
650.5,0
641.0,0
641.0,0
581.5,0
660.5,0
681.0,0
700.5,0
661.0,0
660.5,0
662.0,0
671.5,0
661.5,0
661.0,0
681.5,0
621.0,0
620.5,0
662.0,0
671.0,0
641.0,0
671.5,0
661.5,0
641.0,0
641.0,0
641.0,0
632.0,0
661.5,0
671.5,0
661.0,0
661.0,0
651.0,0
681.0,0
681.0,0
681.0,0
671.5,0
671.5,0
702.0,0
681.0,0
661.0,0
641.5,0
662.0,0
661.5,0
641.5,0
671.0,0
681.5,0
701.0,0
701.0,0
691.0,0
681.0,0
641.0,0
651.0,0
661.0,0
690.5,0
701.5,0
661.0,0
661.5,0
700.5,0
700.5,0
660.5,0
661.0,0
661.0,0
661.5,0
651.0,0
621.0,0
621.0,0
631.5,0
641.0,0
650.5,0
660.5,0
641.5,0
641.5,0
661.5,0
681.5,0
662.0,0
692.0,0
660.5,0
631.5,0
621.5,0
641.5,0
641.0,0
681.0,0
691.0,0
662.0,0
681.0,0
681.0,0
721.0,0
661.0,0
701.0,0
711.0,0
711.5,0
671.5,0
651.0,0
631.0,0
691.0,0
691.5,0
681.0,0
661.5,0
661.0,0
661.0,0
661.5,0
621.0,0
641.0,0
681.0,0
652.0,0
631.5,0
711.0,0
681.5,0
681.0,0
681.0,0
681.5,0
691.0,0
681.5,0
691.0,0
660.5,0
731.0,0
721.0,0
701.5,0
690.5,0
681.0,0
701.0,0
681.0,0
681.0,0
681.0,0
621.5,0
641.0,0
681.0,0
691.5,0
691.5,0
711.5,0
701.5,0
691.5,0
721.0,0
711.0,0
701.0,0
660.5,0
681.0,0
681.0,0
691.0,0
700.5,0
691.5,0
691.0,0
661.0,0
710.5,0
681.5,0
711.0,0
691.0,0
681.0,0
641.0,0
671.0,0
690.5,0
681.5,0
690.5,0
710.5,0
661.0,0
671.5,0
671.5,0
721.0,0
700.0,0
682.0,0
680.5,0
701.5,0
710.5,0
690.5,0
701.0,0
711.0,0
740.5,0
702.0,0
741.5,0
720.5,0
741.0,0
721.0,0
742.0,0
730.5,0
700.5,0
601.5,0
681.0,0
671.0,0
711.5,0
701.5,0
711.0,0
681.5,0
681.0,0
710.5,0
681.5,0
661.5,0
702.0,0
711.5,0
740.5,0
711.5,0
721.5,0
671.5,0
681.5,0
721.5,0
690.5,0
730.5,0
681.0,0
701.0,0
681.5,0
691.5,0
671.0,0
711.0,0
711.0,0
702.0,0
661.0,0
721.0,0
731.5,0
721.5,0
701.5,0
641.5,0
742.0,0
690.5,0
681.0,0
641.0,0
701.5,0
711.5,0
691.5,0
682.0,0
671.5,0
711.5,0
711.0,0
721.5,0
721.0,0
691.0,0
671.0,0
721.5,0
671.5,0
720.5,0
661.5,0
691.0,0
751.0,0
701.0,0
722.0,0
