MedianNN,MeanNN,SDNN,Class
641.0,642.667,23.4,0
622.0,624.417,19.543,0
621.5,621.083,19.839,0
621.0,619.417,15.091,0
621.5,629.5,20.855,0
641.0,637.75,40.575,0
651.0,657.833,29.109,0
651.0,646.167,22.067,0
641.0,639.5,23.764,0
641.0,644.5,24.527,0
661.5,659.583,23.489,0
651.0,642.833,42.0,0
611.0,627.75,38.702,0
671.0,666.25,54.154,0
661.0,674.583,53.783,0
641.0,652.75,32.283,0
631.5,632.833,34.212,0
651.5,651.25,47.978,0
650.5,654.5,27.473,0
641.5,644.5,16.065,0
641.0,646.167,27.331,0
660.0,646.083,21.785,0
641.5,644.583,29.287,0
622.0,637.833,27.76,0
641.0,639.417,19.272,0
621.5,629.5,19.449,0
671.0,676.167,36.701,0
671.0,672.833,27.574,0
661.0,662.75,26.221,0
641.5,652.833,23.671,0
650.5,651.083,30.151,0
660.5,652.75,45.668,0
641.5,664.417,35.38,0
681.0,686.083,27.284,0
651.5,659.417,39.763,0
641.0,654.333,24.948,0
641.0,656.083,45.966,0
680.5,677.75,38.121,0
651.0,657.667,26.697,0
621.0,617.75,21.284,0
621.0,626.083,27.226,0
621.5,631.25,19.46,0
650.5,649.417,26.26,0
641.0,637.833,27.934,0
641.0,636.167,30.884,0
581.5,592.833,36.794,0
660.5,666.167,44.238,0
681.0,681.167,27.086,0
700.5,699.5,34.279,0
661.0,659.5,23.694,0
660.5,657.833,24.368,0
662.0,667.833,24.572,0
671.5,674.417,23.669,0
661.5,667.833,36.06,0
661.0,656.25,20.36,0
681.5,686.167,30.61,0
621.0,622.75,23.675,0
620.5,619.5,23.764,0
662.0,661.167,23.248,0
671.0,669.417,32.035,0
641.0,659.583,38.793,0
671.5,667.833,24.969,0
661.5,657.833,26.897,0
641.0,654.5,27.53,0
641.0,631.083,17.279,0
641.0,631.167,22.214,0
632.0,637.833,28.296,0
661.5,661.167,25.761,0
671.5,674.417,22.07,0
661.0,666.083,31.001,0
661.0,656.25,23.188,0
651.0,652.833,23.604,0
681.0,681.25,33.571,0
681.0,682.833,31.68,0
681.0,681.167,28.112,0
671.5,668.0,26.169,0
671.5,674.5,47.867,0
702.0,701.167,26.842,0
681.0,682.833,26.207,0
661.0,664.583,29.227,0
641.5,644.583,24.513,0
662.0,674.5,25.979,0
661.5,667.833,19.074,0
641.5,661.25,43.405,0
671.0,677.917,61.355,0
681.5,687.75,28.659,0
701.0,691.167,27.994,0
701.0,704.5,39.003,0
691.0,692.833,43.326,0
681.0,682.75,20.989,0
641.0,641.25,31.626,0
651.0,656.083,44.34,0
661.0,656.25,49.644,0
690.5,694.417,53.607,0
701.5,699.583,50.515,0
661.0,659.5,34.175,0
661.5,652.75,51.339,0
700.5,691.25,43.995,0
700.5,699.583,48.736,0
660.5,642.75,56.81,0
661.0,664.417,35.476,0
661.0,657.833,19.924,0
661.5,659.583,41.252,0
651.0,649.417,24.005,0
621.0,634.5,26.421,0
621.0,627.75,22.174,0
631.5,639.5,28.774,0
641.0,639.5,20.528,0
650.5,654.5,27.412,0
660.5,662.917,36.057,0
641.5,649.417,34.779,0
641.5,657.833,54.53,0
661.5,667.833,40.214,0
681.5,694.417,42.037,0
662.0,662.917,26.459,0
692.0,686.167,46.519,0
660.5,659.5,32.533,0
631.5,631.167,23.611,0
621.5,622.833,25.238,0
641.5,656.167,50.468,0
641.0,657.833,55.828,0
681.0,679.583,39.645,0
691.0,701.083,35.694,0
662.0,674.5,35.38,0
681.0,686.167,21.61,0
681.0,666.167,50.532,0
721.0,712.75,28.911,0
661.0,657.667,61.693,0
701.0,704.5,55.36,0
711.0,707.75,38.704,0
711.5,709.417,31.025,0
671.5,672.75,31.183,0
651.0,649.333,33.124,0
631.0,644.167,52.029,0
691.0,697.833,27.991,0
691.5,694.5,39.643,0
681.0,682.75,27.52,0
661.5,666.167,30.446,0
661.0,671.167,25.308,0
661.0,667.833,28.754,0
661.5,659.417,27.828,0
621.0,632.833,30.058,0
641.0,644.5,32.783,0
681.0,661.25,37.375,0
652.0,666.167,48.995,0
631.5,621.167,23.104,0
711.0,702.833,51.125,0
681.5,694.5,46.491,0
681.0,689.417,36.091,0
681.0,684.5,30.187,0
681.5,679.583,36.174,0
691.0,684.5,21.403,0
681.5,688.083,23.461,0
691.0,691.167,46.553,0
660.5,662.917,55.889,0
731.0,724.583,28.064,0
721.0,711.083,36.312,0
701.5,714.583,34.048,0
690.5,689.583,49.5,0
681.0,679.417,36.024,0
701.0,696.083,37.81,0
681.0,664.25,47.746,0
681.0,689.333,31.213,0
681.0,679.417,27.831,0
621.5,626.083,27.345,0
641.0,644.417,59.542,0
681.0,674.417,32.92,0
691.5,696.167,50.501,0
691.5,684.5,44.401,0
711.5,706.167,51.902,0
701.5,696.167,50.401,0
691.5,701.167,46.047,0
721.0,713.0,46.687,0
711.0,717.833,43.091,0
701.0,696.083,33.802,0
660.5,667.917,29.711,0
681.0,681.167,31.363,0
681.0,686.083,29.573,0
691.0,691.25,35.429,0
700.5,691.083,27.846,0
691.5,682.833,23.811,0
691.0,696.083,21.899,0
661.0,666.25,30.652,0
710.5,701.167,31.419,0
681.5,697.75,47.396,0
711.0,714.5,27.293,0
691.0,694.5,34.856,0
681.0,677.833,28.109,0
641.0,647.833,17.425,0
671.0,687.917,62.604,0
690.5,701.083,36.383,0
681.5,674.333,61.531,0
690.5,691.0,44.127,0
710.5,702.833,33.221,0
661.0,671.083,32.224,0
671.5,677.833,45.391,0
671.5,686.167,38.604,0
721.0,706.25,44.153,0
700.0,704.333,33.505,0
682.0,706.25,32.752,0
680.5,677.833,57.157,0
701.5,691.083,52.462,0
710.5,711.167,33.573,0
690.5,701.25,42.431,0
701.0,706.25,38.467,0
711.0,707.667,48.743,0
740.5,729.5,38.578,0
702.0,711.167,34.119,0
741.5,734.5,39.557,0
720.5,716.167,36.108,0
741.0,737.917,29.398,0
721.0,719.333,38.786,0
742.0,738.083,34.381,0
730.5,731.167,36.106,0
700.5,691.167,45.208,0
601.5,617.75,34.395,0
681.0,671.083,61.415,0
671.0,671.083,41.616,0
711.5,722.75,46.447,0
701.5,706.0,30.962,0
711.0,706.25,29.544,0
681.5,704.417,38.237,0
681.0,686.0,37.399,0
710.5,712.917,32.382,0
681.5,699.333,38.571,0
661.5,671.167,39.669,0
702.0,717.917,42.4,0
711.5,712.667,39.386,0
740.5,722.667,37.026,0
711.5,707.833,61.915,0
721.5,717.833,42.63,0
671.5,679.417,68.882,0
681.5,697.917,44.623,0
721.5,713.0,42.815,0
690.5,696.167,36.93,0
730.5,712.917,41.131,0
681.0,676.167,73.328,0
701.0,704.417,39.901,0
681.5,684.583,58.659,0
691.5,699.583,38.623,0
671.0,681.25,49.669,0
711.0,704.5,39.216,0
711.0,712.75,37.18,0
702.0,707.833,40.503,0
661.0,654.5,76.495,0
721.0,696.0,73.203,0
731.5,724.417,43.071,0
721.5,721.167,36.703,0
701.5,704.5,43.95,0
641.5,647.75,68.08,0
742.0,726.083,47.727,0
690.5,699.583,41.333,0
681.0,691.083,44.256,0
641.0,642.833,36.106,0
701.5,699.583,33.986,0
711.5,707.833,41.679,0
691.5,683.0,53.29,0
682.0,672.917,59.599,0
671.5,687.833,38.473,0
711.5,711.167,33.321,0
711.0,697.75,48.232,0
721.5,721.167,34.309,0
721.0,726.083,30.677,0
691.0,691.25,54.515,0
671.0,669.5,36.356,0
721.5,719.583,37.924,0
671.5,686.083,35.748,0
720.5,701.083,51.739,0
661.5,681.167,41.198,0
691.0,689.667,55.754,0
751.0,732.833,44.162,0
701.0,706.083,30.349,0
722.0,730.273,32.337,0
