X,Class
642.667,0
624.417,0
621.083,0
619.417,0
629.5,0
637.75,0
657.833,0
646.167,0
639.5,0
644.5,0
659.583,0
642.833,0
627.75,0
666.25,0
674.583,0
652.75,0
632.833,0
651.25,0
654.5,0
644.5,0
646.167,0
646.083,0
644.583,0
637.833,0
639.417,0
629.5,0
676.167,0
672.833,0
662.75,0
652.833,0
651.083,0
652.75,0
664.417,0
686.083,0
659.417,0
654.333,0
656.083,0
677.75,0
657.667,0
617.75,0
626.083,0
631.25,0
649.417,0
637.833,0
636.167,0
592.833,0
666.167,0
681.167,0
699.5,0
659.5,0
657.833,0
667.833,0
674.417,0
667.833,0
656.25,0
686.167,0
622.75,0
619.5,0
661.167,0
669.417,0
659.583,0
667.833,0
657.833,0
654.5,0
631.083,0
631.167,0
637.833,0
661.167,0
674.417,0
666.083,0
656.25,0
652.833,0
681.25,0
682.833,0
681.167,0
668.0,0
674.5,0
701.167,0
682.833,0
664.583,0
644.583,0
674.5,0
667.833,0
661.25,0
677.917,0
687.75,0
691.167,0
704.5,0
692.833,0
682.75,0
641.25,0
656.083,0
656.25,0
694.417,0
699.583,0
659.5,0
652.75,0
691.25,0
699.583,0
642.75,0
664.417,0
657.833,0
659.583,0
649.417,0
634.5,0
627.75,0
639.5,0
639.5,0
654.5,0
662.917,0
649.417,0
657.833,0
667.833,0
694.417,0
662.917,0
686.167,0
659.5,0
631.167,0
622.833,0
656.167,0
657.833,0
679.583,0
701.083,0
674.5,0
686.167,0
666.167,0
712.75,0
657.667,0
704.5,0
707.75,0
709.417,0
672.75,0
649.333,0
644.167,0
697.833,0
694.5,0
682.75,0
666.167,0
671.167,0
667.833,0
659.417,0
632.833,0
644.5,0
661.25,0
666.167,0
621.167,0
702.833,0
694.5,0
689.417,0
684.5,0
679.583,0
684.5,0
688.083,0
691.167,0
662.917,0
724.583,0
711.083,0
714.583,0
689.583,0
679.417,0
696.083,0
664.25,0
689.333,0
679.417,0
626.083,0
644.417,0
674.417,0
696.167,0
684.5,0
706.167,0
696.167,0
701.167,0
713.0,0
717.833,0
696.083,0
667.917,0
681.167,0
686.083,0
691.25,0
691.083,0
682.833,0
696.083,0
666.25,0
701.167,0
697.75,0
714.5,0
694.5,0
677.833,0
647.833,0
687.917,0
701.083,0
674.333,0
691.0,0
702.833,0
671.083,0
677.833,0
686.167,0
706.25,0
704.333,0
706.25,0
677.833,0
691.083,0
711.167,0
701.25,0
706.25,0
707.667,0
729.5,0
711.167,0
734.5,0
716.167,0
737.917,0
719.333,0
738.083,0
731.167,0
691.167,0
617.75,0
671.083,0
671.083,0
722.75,0
706.0,0
706.25,0
704.417,0
686.0,0
712.917,0
699.333,0
671.167,0
717.917,0
712.667,0
722.667,0
707.833,0
717.833,0
679.417,0
697.917,0
713.0,0
696.167,0
712.917,0
676.167,0
704.417,0
684.583,0
699.583,0
681.25,0
704.5,0
712.75,0
707.833,0
654.5,0
696.0,0
724.417,0
721.167,0
704.5,0
647.75,0
726.083,0
699.583,0
691.083,0
642.833,0
699.583,0
707.833,0
683.0,0
672.917,0
687.833,0
711.167,0
697.75,0
721.167,0
726.083,0
691.25,0
669.5,0
719.583,0
686.083,0
701.083,0
681.167,0
689.667,0
732.833,0
706.083,0
730.273,0
