0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,35-40min,
961,621,561,341,7343,1521,761,1021,
801,381,5302,602,701,921,761,882,
781,321,681,361,862,1302,741,821,
482,662,2342,501,781,800,801,862,
540,381,1442,602,960,601,861,880,
362,540,4303,381,962,581,821,821,
561,361,700,540,981,762,802,881,
341,602,522,322,1021,761,820,1002,
480,381,1061,501,10185,741,542,961,
742,700,902,301,701,801,321,922,
961,582,541,722,882,620,781,1080,
1061,381,1221,601,1060,442,741,1121,
941,320,722,360,922,401,801,682,
821,601,2041,282,861,581,821,4283,
1122,362,1221,301,941,341,862,1281,
1020,681,5344,261,901,540,540,2041,
922,421,641,241,862,322,362,1242,
882,621,601,261,880,421,781,3481,
1040,361,381,241,922,821,860,742,
1081,641,761,262,801,681,882,441,
922,381,602,261,840,421,901,320,
941,462,360,280,802,842,882,242,
1021,280,622,241,801,500,760,261,
962,581,360,261,761,442,881,361,
901,361,401,242,802,381,941,240,
941,622,301,261,901,280,922,261,
961,360,282,240,780,261,840,962,
941,561,261,282,982,261,942,582,
581,362,260,440,981,622,942,360,
361,520,642,322,861,381,821,261,
841,342,761,521,841,461,840,281,
882,541,901,321,981,301,761,261,
681,341,622,602,921,601,822,240,
1040,801,381,381,801,440,981,282,
861,481,821,601,882,502,941,261,
1102,521,502,381,901,341,921,241,
1021,360,301,460,801,660,702,401,
882,582,821,322,821,462,1040,260,
920,1002,621,541,941,541,802,261,
1042,1100,361,341,962,320,801,262,
981,922,861,562,880,682,741,261,
861,821,541,341,941,921,681,240,
982,941,321,561,1022,1001,661,261,
1061,1002,841,341,961,981,401,262,
901,960,1002,561,961,902,801,261,
901,821,1001,341,1021,981,682,240,
1001,962,941,662,1142,921,901,282,
1001,961,1062,400,6603,981,861,301,
922,881,1081,722,1001,922,841,241,
800,821,962,440,821,960,840,400,
922,1061,921,561,562,622,822,261,
941,1122,1001,342,500,421,801,261,
882,961,1021,1902,1082,821,761,261,
860,861,942,1141,961,1921,821,261,
1001,901,561,821,621,1161,961,262,
1021,921,481,481,361,1322,922,261,
902,882,1001,322,801,1002,861,261,
881,761,961,261,761,1021,961,260,
1101,1001,862,1161,842,961,621,261,
1001,1061,741,701,861,820,381,301,
842,961,1222,881,901,1202,961,261,
921,921,981,8204,801,701,742,241,
1022,961,901,5063,781,521,941,281,
980,962,581,922,960,501,901,261,
862,860,541,601,922,301,681,241,
941,942,981,360,821,582,1000,261,
1061,1101,601,922,601,440,842,260,
941,962,601,721,401,361,941,262,
961,861,862,1242,1062,261,882,261,
981,840,1261,881,981,2382,780,261,
922,1042,1001,981,861,1441,861,261,
840,701,802,602,941,1501,1002,261,
922,421,1441,440,1001,882,981,261,
961,3642,861,882,921,4022,902,281,
921,401,942,781,961,981,880,261,
841,2122,1181,461,981,601,902,261,
942,1261,982,661,922,362,841,261,
1080,1281,981,401,861,301,782,241,
942,1042,1142,321,941,240,641,3602,
801,1061,740,241,1241,562,941,440,
842,942,422,261,1021,1041,901,562,
1001,1080,2122,502,622,700,881,701,
881,1182,1641,960,501,421,961,441,
601,961,981,1022,1001,901,1142,961,
1102,941,1862,621,1002,562,1061,681,
700,1122,1181,9204,880,1141,881,421,
422,1140,721,4523,861,1302,901,881,
541,981,1222,601,982,780,1002,541,
321,662,761,581,961,7104,901,381,
262,421,481,1002,642,681,901,322,
560,1140,301,641,1340,521,941,720,
361,1022,381,420,1102,6623,942,421,
582,1021,261,462,662,882,801,501,
941,1082,362,261,1140,960,981,302,
941,1060,240,782,982,842,961,701,
781,622,261,480,942,781,902,421,
861,381,262,4043,821,941,941,621,
1122,2042,781,1181,861,621,921,381,
881,1421,961,761,1061,1041,861,542,
841,861,1162,461,741,622,802,341,
521,761,1081,441,542,620,681,601,
341,1081,981,262,780,402,1101,422,
982,1042,1022,281,1242,400,861,540,
821,861,1121,241,1082,561,802,322,
862,921,1042,341,941,381,761,660,
901,642,861,241,1121,381,621,402,
981,381,500,321,1742,322,361,500,
881,261,442,282,2241,521,4643,322,
841,260,920,240,3903,360,1022,701,
922,481,882,261,802,561,960,1082,
960,282,541,541,880,362,962,961,
861,681,401,341,1082,561,601,901,
842,421,241,701,921,361,381,981,
1042,601,462,462,881,521,821,922,
981,361,521,1621,581,361,601,861,
881,641,400,982,581,661,361,761,
981,702,362,8584,341,1041,681,481,
1042,420,381,3582,641,1022,402,641,
961,702,261,322,401,1002,580,861,
921,1101,1322,260,822,981,522,882,
942,1041,800,441,1281,961,521,961,
941,1022,482,282,1001,901,401,921,
861,761,661,1061,942,1061,241,622,
962,6083,921,641,561,1102,261,381,
1100,4942,581,401,341,921,261,681,
1002,1182,3962,882,1042,921,802,401,
981,741,1222,741,920,962,480,3702,
1081,1382,1062,541,1342,1021,382,481,
1002,841,1121,561,821,921,361,922,
901,3882,681,362,1562,1021,241,821,
1001,1102,461,261,961,962,4782,901,
1082,661,1062,261,3702,901,1362,662,
1041,401,981,240,462,841,941,381,
962,1102,621,842,261,1042,962,901,
1021,1101,481,501,5982,1081,1401,781,
1001,961,281,582,262,941,862,922,
922,1262,801,341,3121,1002,1501,920,
1021,941,521,301,342,1061,901,842,
1041,1182,542,320,641,982,8564,781,
941,721,341,362,501,960,861,901,
922,561,641,240,582,1121,702,901,
1001,1400,400,422,360,962,500,782,
921,863,442,281,5784,861,301,821,
841,981,341,821,9304,842,382,941,
1002,580,521,481,361,920,621,721,
1141,362,961,402,262,882,361,962,
1022,1001,601,240,601,941,541,821,
901,1241,341,261,361,561,321,861,
981,1042,341,4083,381,362,541,842,
901,881,262,1841,281,421,341,780,
802,862,321,1102,521,261,4563,902,
921,1520,261,3563,722,261,2242,941,
1080,902,341,460,421,301,1322,561,
962,841,281,261,681,241,941,341,
962,962,321,641,420,281,1362,822,
1081,1100,261,381,382,281,5002,920,
901,682,282,442,321,280,4303,962,
