X,Class
801.0,2
1020.0,2
922.0,2
941.0,2
941.0,2
920.0,2
982.0,2
922.0,2
882.0,2
1001.0,2
980.0,2
941.0,2
922.0,2
942.0,2
881.0,2
861.0,2
881.0,2
881.0,2
922.0,2
981.0,2
941.0,2
1002.0,2
1001.0,2
1021.0,2
922.0,2
1002.0,2
921.0,2
962.0,2
901.0,2
861.0,2
882.0,2
1020.0,2
1161.0,2
1102.0,2
1061.0,2
1061.0,2
882.0,2
1001.0,2
1042.0,2
1040.0,2
1040.0,2
1120.0,2
841.0,2
880.0,2
861.0,2
902.0,2
941.0,2
961.0,2
802.0,2
981.0,2
861.0,2
941.0,2
960.0,2
961.0,2
901.0,2
961.0,2
942.0,2
1042.0,2
1061.0,2
981.0,2
1060.0,2
861.0,2
921.0,2
841.0,2
1102.0,2
941.0,2
1001.0,2
902.0,2
1121.0,2
822.0,2
1121.0,2
962.0,2
1201.0,2
841.0,2
961.0,2
1021.0,2
1002.0,2
861.0,2
962.0,2
761.0,2
841.0,2
1001.0,2
1001.0,2
961.0,2
981.0,2
942.0,2
981.0,2
781.0,2
1081.0,2
882.0,2
1062.0,2
941.0,2
722.0,2
862.0,2
1001.0,2
722.0,2
861.0,2
881.0,2
821.0,2
881.0,2
882.0,2
1002.0,2
882.0,2
821.0,2
982.0,2
901.0,2
841.0,2
901.0,2
801.0,2
742.0,2
760.0,2
882.0,2
1041.0,2
921.0,2
862.0,2
981.0,2
901.0,2
840.0,2
801.0,2
981.0,2
882.0,2
941.0,2
1021.0,2
961.0,2
842.0,2
922.0,2
941.0,2
941.0,2
1002.0,2
982.0,2
942.0,2
941.0,2
921.0,2
942.0,2
920.0,2
781.0,2
921.0,2
941.0,2
762.0,2
722.0,2
762.0,2
842.0,2
981.0,2
960.0,2
961.0,2
901.0,2
882.0,2
1022.0,2
981.0,2
962.0,2
921.0,2
1042.0,2
962.0,2
882.0,2
962.0,2
1061.0,2
1061.0,2
922.0,2
941.0,2
962.0,2
882.0,2
1061.0,2
1102.0,2
1042.0,2
821.0,2
901.0,2
981.0,2
941.0,2
941.0,2
982.0,2
822.0,2
981.0,2
761.0,2
802.0,2
821.0,2
882.0,2
941.0,2
822.0,2
921.0,2
801.0,2
822.0,2
922.0,2
941.0,2
861.0,2
902.0,2
881.0,2
961.0,2
941.0,2
941.0,2
861.0,2
960.0,2
862.0,2
861.0,2
782.0,2
821.0,2
822.0,2
901.0,2
902.0,2
841.0,2
842.0,2
862.0,2
881.0,2
1121.0,2
881.0,2
720.0,2
901.0,2
921.0,2
901.0,2
871.5,2
861.0,2
841.0,2
872.0,2
941.0,2
1011.0,2
1051.0,2
981.5,2
951.5,2
1031.0,2
961.0,2
1071.0,2
1031.0,2
991.0,2
871.0,2
881.0,2
911.5,2
1041.5,2
701.0,2
1001.5,2
861.0,2
772.0,2
931.0,2
1011.5,2
1021.5,2
891.0,2
871.0,2
901.5,2
961.5,2
1051.5,2
751.5,2
1041.0,2
741.5,2
791.5,2
