MedianNN,MeanNN,SDNN,Class
801.0,849.2,93.236,2
1020.0,993.0,104.194,2
922.0,969.4,76.904,2
941.0,953.2,39.235,2
941.0,933.0,68.355,2
920.0,957.2,90.918,2
982.0,985.4,69.893,2
922.0,945.2,46.201,2
882.0,881.0,49.566,2
1001.0,981.2,80.797,2
980.0,953.2,65.021,2
941.0,953.2,63.713,2
922.0,925.2,48.321,2
942.0,945.2,76.987,2
881.0,925.4,110.73,2
861.0,844.8,93.604,2
881.0,929.4,111.148,2
881.0,893.2,48.201,2
922.0,925.4,71.982,2
981.0,969.2,51.817,2
941.0,925.4,34.714,2
1002.0,1033.2,47.789,2
1001.0,997.4,62.637,2
1021.0,1001.2,41.571,2
922.0,925.2,51.211,2
1002.0,1009.4,77.575,2
921.0,933.2,90.309,2
962.0,949.2,86.377,2
901.0,893.4,116.51,2
861.0,865.0,93.295,2
882.0,885.4,123.341,2
1020.0,1028.8,154.906,2
1161.0,1073.4,189.881,2
1102.0,1113.6,103.392,2
1061.0,1049.2,59.911,2
1061.0,1013.4,126.738,2
882.0,957.4,241.668,2
1001.0,1029.2,119.185,2
1042.0,993.4,164.944,2
1040.0,1045.2,128.09,2
1040.0,1017.4,127.89,2
1120.0,1073.2,143.345,2
841.0,821.0,42.052,2
880.0,841.4,50.603,2
861.0,869.0,81.978,2
902.0,877.6,52.66,2
941.0,909.0,61.449,2
961.0,985.4,73.137,2
802.0,893.4,198.229,2
981.0,917.0,142.831,2
861.0,857.2,103.006,2
941.0,957.2,92.142,2
960.0,917.0,57.135,2
961.0,965.2,114.397,2
901.0,893.2,77.533,2
961.0,973.2,46.598,2
942.0,945.2,88.221,2
1042.0,1025.0,228.351,2
1061.0,1061.4,76.842,2
981.0,1029.0,84.43,2
1060.0,1065.0,44.1,2
861.0,921.2,120.864,2
921.0,893.4,166.681,2
841.0,909.4,168.552,2
1102.0,1105.6,95.307,2
941.0,937.6,151.068,2
1001.0,1005.4,136.312,2
902.0,929.2,96.485,2
1121.0,1097.4,191.468,2
822.0,877.2,120.076,2
1121.0,1001.6,194.402,2
962.0,985.4,167.228,2
1201.0,1177.4,102.193,2
841.0,885.0,196.694,2
961.0,993.2,107.645,2
1021.0,1037.2,120.937,2
1002.0,985.2,192.912,2
861.0,881.4,70.882,2
962.0,969.2,172.55,2
761.0,873.2,184.27,2
841.0,869.2,68.036,2
1001.0,1009.4,54.57,2
1001.0,977.2,38.597,2
961.0,953.4,159.018,2
981.0,1001.2,139.514,2
942.0,953.6,129.776,2
981.0,1005.0,155.642,2
781.0,889.2,185.658,2
1081.0,1073.4,65.35,2
882.0,901.0,80.503,2
1062.0,1077.6,97.719,2
941.0,901.0,74.833,2
722.0,789.8,146.354,2
862.0,865.6,105.392,2
1001.0,981.0,110.995,2
722.0,861.6,195.449,2
861.0,917.2,181.511,2
881.0,929.0,188.426,2
821.0,913.4,197.44,2
881.0,829.4,98.03,2
882.0,953.4,157.552,2
1002.0,989.4,127.915,2
882.0,877.4,133.669,2
821.0,845.4,136.254,2
982.0,945.6,141.15,2
901.0,925.0,58.723,2
841.0,825.4,83.265,2
901.0,985.2,184.605,2
801.0,821.4,82.561,2
742.0,733.2,27.636,2
760.0,793.0,118.425,2
882.0,909.4,157.588,2
1041.0,1009.0,191.249,2
921.0,898.0,142.015,2
862.0,853.2,101.685,2
981.0,929.0,128.469,2
901.0,897.4,31.929,2
840.0,849.0,46.656,2
801.0,809.0,48.419,2
981.0,929.2,64.164,2
882.0,861.2,50.677,2
941.0,909.0,51.85,2
1021.0,1021.4,66.093,2
961.0,933.2,107.31,2
842.0,833.2,48.367,2
922.0,909.2,100.306,2
941.0,941.0,48.99,2
941.0,933.2,41.126,2
1002.0,1029.0,117.237,2
982.0,1009.2,100.744,2
942.0,933.4,85.549,2
941.0,957.2,187.131,2
921.0,961.2,121.394,2
942.0,985.4,159.44,2
920.0,893.2,111.336,2
781.0,849.4,219.203,2
921.0,969.4,100.528,2
941.0,981.2,164.317,2
762.0,793.2,57.301,2
722.0,741.2,45.521,2
762.0,797.0,64.872,2
842.0,877.2,74.093,2
981.0,953.2,34.574,2
960.0,973.2,111.408,2
961.0,941.0,171.559,2
901.0,901.0,115.553,2
882.0,921.0,124.55,2
1022.0,965.2,99.23,2
981.0,981.2,52.232,2
962.0,985.4,68.855,2
921.0,929.2,60.241,2
1042.0,1025.4,49.609,2
962.0,977.2,83.344,2
882.0,885.2,40.385,2
962.0,957.4,135.068,2
1061.0,1041.2,56.499,2
1061.0,1041.4,45.169,2
922.0,929.2,100.065,2
941.0,909.6,136.816,2
962.0,953.0,37.64,2
882.0,885.4,87.344,2
1061.0,1061.4,96.421,2
1102.0,1109.4,72.124,2
1042.0,1041.4,130.6,2
821.0,837.2,130.177,2
901.0,909.2,92.547,2
981.0,949.6,55.701,2
941.0,921.2,102.451,2
941.0,1005.2,113.272,2
982.0,973.8,65.521,2
822.0,817.0,23.503,2
981.0,1001.4,202.84,2
761.0,785.0,42.708,2
802.0,793.0,29.806,2
821.0,825.0,32.006,2
882.0,861.2,51.152,2
941.0,917.4,39.444,2
822.0,845.0,73.051,2
921.0,881.2,117.271,2
801.0,821.0,55.136,2
822.0,813.0,29.806,2
922.0,905.2,55.772,2
941.0,909.0,89.4,2
861.0,861.2,52.465,2
902.0,933.4,48.57,2
