X,Class
849.2,2
993.0,2
969.4,2
953.2,2
933.0,2
957.2,2
985.4,2
945.2,2
881.0,2
981.2,2
953.2,2
953.2,2
925.2,2
945.2,2
925.4,2
844.8,2
929.4,2
893.2,2
925.4,2
969.2,2
925.4,2
1033.2,2
997.4,2
1001.2,2
925.2,2
1009.4,2
933.2,2
949.2,2
893.4,2
865.0,2
885.4,2
1028.8,2
1073.4,2
1113.6,2
1049.2,2
1013.4,2
957.4,2
1029.2,2
993.4,2
1045.2,2
1017.4,2
1073.2,2
821.0,2
841.4,2
869.0,2
877.6,2
909.0,2
985.4,2
893.4,2
917.0,2
857.2,2
957.2,2
917.0,2
965.2,2
893.2,2
973.2,2
945.2,2
1025.0,2
1061.4,2
1029.0,2
1065.0,2
921.2,2
893.4,2
909.4,2
1105.6,2
937.6,2
1005.4,2
929.2,2
1097.4,2
877.2,2
1001.6,2
985.4,2
1177.4,2
885.0,2
993.2,2
1037.2,2
985.2,2
881.4,2
969.2,2
873.2,2
869.2,2
1009.4,2
977.2,2
953.4,2
1001.2,2
953.6,2
1005.0,2
889.2,2
1073.4,2
901.0,2
1077.6,2
901.0,2
789.8,2
865.6,2
981.0,2
861.6,2
917.2,2
929.0,2
913.4,2
829.4,2
953.4,2
989.4,2
877.4,2
845.4,2
945.6,2
925.0,2
825.4,2
985.2,2
821.4,2
733.2,2
793.0,2
909.4,2
1009.0,2
898.0,2
853.2,2
929.0,2
897.4,2
849.0,2
809.0,2
929.2,2
861.2,2
909.0,2
1021.4,2
933.2,2
833.2,2
909.2,2
941.0,2
933.2,2
1029.0,2
1009.2,2
933.4,2
957.2,2
961.2,2
985.4,2
893.2,2
849.4,2
969.4,2
981.2,2
793.2,2
741.2,2
797.0,2
877.2,2
953.2,2
973.2,2
941.0,2
901.0,2
921.0,2
965.2,2
981.2,2
985.4,2
929.2,2
1025.4,2
977.2,2
885.2,2
957.4,2
1041.2,2
1041.4,2
929.2,2
909.6,2
953.0,2
885.4,2
1061.4,2
1109.4,2
1041.4,2
837.2,2
909.2,2
949.6,2
921.2,2
1005.2,2
973.8,2
817.0,2
1001.4,2
785.0,2
793.0,2
825.0,2
861.2,2
917.4,2
845.0,2
881.2,2
821.0,2
813.0,2
905.2,2
909.0,2
861.2,2
933.4,2
869.2,2
989.2,2
937.4,2
917.2,2
909.2,2
901.4,2
877.6,2
849.0,2
801.4,2
877.2,2
825.4,2
949.2,2
973.2,2
889.6,2
861.2,2
861.4,2
909.0,2
1129.2,2
849.4,2
833.0,2
885.2,2
909.4,2
865.2,2
861.0,2
861.25,2
841.25,2
866.25,2
921.5,2
1006.25,2
1041.5,2
981.5,2
916.25,2
971.5,2
951.0,2
1056.25,2
1061.25,2
946.25,2
911.25,2
866.0,2
911.5,2
1036.25,2
801.0,2
986.5,2
891.0,2
861.5,2
961.25,2
971.25,2
1056.25,2
921.25,2
861.0,2
891.25,2
971.25,2
976.25,2
856.5,2
1001.0,2
741.25,2
861.25,2
