X,Class
961,2
801,2
781,2
482,2
540,2
362,2
561,2
341,2
480,2
742,2
961,2
1061,2
941,2
821,2
1122,2
1020,2
922,2
882,2
1040,2
1081,2
922,2
941,2
1021,2
962,2
901,2
941,2
961,2
941,2
581,2
361,2
841,2
882,2
681,2
1040,2
861,2
1102,2
1021,2
882,2
920,2
1042,2
981,2
861,2
982,2
1061,2
901,2
901,2
1001,2
1001,2
922,2
800,2
922,2
941,2
882,2
860,2
1001,2
1021,2
902,2
881,2
1101,2
1001,2
842,2
921,2
1022,2
980,2
862,2
941,2
1061,2
941,2
961,2
981,2
922,2
840,2
922,2
961,2
921,2
841,2
942,2
1080,2
942,2
801,2
842,2
1001,2
881,2
601,2
1102,2
700,2
422,2
541,2
321,2
262,2
560,2
361,2
582,2
941,2
941,2
781,2
861,2
1122,2
881,2
841,2
521,2
341,2
982,2
821,2
862,2
901,2
981,2
881,2
841,2
922,2
960,2
861,2
842,2
1042,2
981,2
881,2
981,2
1042,2
961,2
921,2
942,2
941,2
861,2
962,2
1100,2
1002,2
981,2
1081,2
1002,2
901,2
1001,2
1082,2
1041,2
962,2
1021,2
1001,2
922,2
1021,2
1041,2
941,2
922,2
1001,2
921,2
841,2
1002,2
1141,2
1022,2
901,2
981,2
901,2
802,2
921,2
1080,2
962,2
962,2
1081,2
901,2
821,2
981,2
1062,2
901,2
721,2
1442,2
961,2
822,2
901,2
1021,2
861,2
781,2
761,2
481,2
301,2
762,2
981,2
882,2
1061,2
741,2
442,2
1020,2
962,2
1161,2
2202,2
2061,2
2023,2
1220,2
781,2
1262,2
1041,2
1182,2
1161,2
721,2
1282,2
1161,2
981,2
1042,2
1102,2
1061,2
682,2
1100,2
962,2
1001,2
1881,2
1122,2
1062,2
621,2
421,2
1201,2
1061,2
882,2
681,2
422,2
2040,2
1402,2
861,2
882,2
701,2
1282,2
1201,2
721,2
1221,2
1102,2
1001,2
921,2
1302,2
901,2
601,2
722,2
1121,2
1181,2
901,2
602,2
360,2
1042,2
1081,2
641,2
381,2
1262,2
961,2
581,2
361,2
882,2
1040,2
642,2
381,2
621,2
361,2
261,2
5603,2
802,2
580,2
422,2
1040,2
1002,2
1202,2
1041,2
862,2
561,2
660,2
1262,2
1161,2
682,2
1120,2
3183,2
6304,2
341,2
961,2
861,2
841,2
861,2
782,2
760,2
802,2
761,2
622,2
880,2
882,2
882,2
781,2
780,2
942,2
981,2
861,2
902,2
921,2
861,2
782,2
480,2
361,2
922,2
881,2
801,2
961,2
961,2
941,2
902,2
921,2
1082,2
1061,2
961,2
982,2
1241,2
3403,2
681,2
521,2
320,2
682,2
421,2
501,2
362,2
481,2
381,2
481,2
301,2
721,2
422,2
721,2
601,2
341,2
802,2
700,2
401,2
981,2
802,2
461,2
502,2
1080,2
1022,2
861,2
922,2
561,2
621,2
381,2
321,2
662,2
381,2
540,2
361,2
602,2
381,2
700,2
582,2
381,2
320,2
601,2
362,2
681,2
421,2
621,2
361,2
641,2
381,2
462,2
280,2
581,2
361,2
622,2
360,2
561,2
362,2
520,2
342,2
541,2
341,2
801,2
481,2
521,2
360,2
582,2
1002,2
1100,2
922,2
821,2
941,2
1002,2
960,2
821,2
962,2
961,2
881,2
821,2
1061,2
1122,2
961,2
861,2
901,2
921,2
882,2
761,2
1001,2
1061,2
961,2
921,2
961,2
962,2
860,2
942,2
1101,2
962,2
861,2
840,2
1042,2
701,2
421,2
3642,2
401,2
2122,2
1261,2
1281,2
1042,2
1061,2
942,2
1080,2
1182,2
961,2
941,2
1122,2
1140,2
981,2
662,2
421,2
1140,2
1022,2
1021,2
1082,2
1060,2
622,2
381,2
2042,2
1421,2
861,2
761,2
1081,2
1042,2
861,2
921,2
642,2
381,2
261,2
260,2
481,2
282,2
681,2
421,2
601,2
361,2
641,2
702,2
420,2
702,2
1101,2
1041,2
1022,2
761,2
6083,2
4942,2
1182,2
741,2
1382,2
841,2
3882,2
1102,2
661,2
401,2
1102,2
1101,2
961,2
1262,2
941,2
1182,2
721,2
561,2
1400,2
863,2
981,2
580,2
362,2
1001,2
1241,2
1042,2
881,2
862,2
1520,2
902,2
841,2
962,2
1100,2
682,2
461,2
841,2
1282,2
1121,2
681,2
1382,2
1242,2
740,2
1102,2
961,2
822,2
480,2
301,2
561,2
341,2
1062,2
821,2
482,2
720,2
421,2
1862,2
1142,2
1201,2
1121,2
702,2
420,2
842,2
1221,2
1121,2
682,2
400,2
762,2
601,2
421,2
241,2
861,2
962,2
1282,2
1300,2
1022,2
1101,2
2142,2
1281,2
2243,2
1361,2
2121,2
1522,2
3663,2
1201,2
1261,2
761,2
442,2
681,2
401,2
561,2
341,2
241,2
321,2
241,2
401,2
241,2
681,2
401,2
461,2
261,2
301,2
242,2
261,2
241,2
581,2
341,2
482,2
301,2
681,2
421,2
401,2
281,2
481,2
321,2
501,2
322,2
700,2
862,2
841,2
922,2
961,2
1201,2
981,2
4043,2
601,2
361,2
381,2
11585,2
3963,2
421,2
261,2
901,2
661,2
602,2
381,2
7763,2
5004,2
1381,2
1021,2
622,2
601,2
361,2
861,2
1021,2
1241,2
1042,2
701,2
421,2
842,2
660,2
402,2
240,2
1983,2
1180,2
1002,2
601,2
362,2
680,2
402,2
1201,2
962,2
561,2
8784,2
7003,2
841,2
962,2
601,2
361,2
861,2
561,2
382,2
301,2
681,2
400,2
442,2
281,2
601,2
361,2
621,2
662,2
381,2
781,2
641,2
962,2
580,2
602,2
361,2
501,2
302,2
341,2
561,2
5302,2
681,2
2342,2
1442,2
4303,2
700,2
522,2
1061,2
902,2
541,2
1221,2
722,2
2041,2
1221,2
5344,2
641,2
601,2
381,2
761,2
602,2
360,2
622,2
360,2
401,2
301,2
282,2
261,2
260,2
642,2
761,2
901,2
622,2
381,2
821,2
502,2
301,2
821,2
621,2
361,2
861,2
541,2
321,2
841,2
1002,2
1001,2
941,2
1062,2
1081,2
962,2
921,2
1001,2
1021,2
942,2
561,2
481,2
1001,2
961,2
862,2
741,2
1222,2
981,2
901,2
581,2
541,2
981,2
601,2
601,2
862,2
1261,2
1001,2
802,2
1441,2
861,2
942,2
1181,2
982,2
981,2
1142,2
740,2
422,2
2122,2
1641,2
981,2
1862,2
1181,2
721,2
1222,2
761,2
481,2
301,2
381,2
261,2
362,2
240,2
261,2
262,2
781,2
961,2
1162,2
1081,2
981,2
1022,2
1121,2
1042,2
861,2
500,2
442,2
920,2
882,2
541,2
401,2
241,2
462,2
521,2
400,2
362,2
381,2
261,2
1322,2
800,2
482,2
661,2
921,2
581,2
3962,2
1222,2
1062,2
1121,2
681,2
461,2
1062,2
981,2
621,2
481,2
281,2
801,2
521,2
542,2
341,2
641,2
400,2
442,2
341,2
521,2
961,2
601,2
341,2
341,2
262,2
321,2
261,2
341,2
281,2
321,2
261,2
282,2
281,2
261,2
261,2
941,2
561,2
582,2
360,2
821,2
502,2
521,2
301,2
702,2
400,2
742,2
460,2
603,2
380,2
602,2
360,2
722,2
1081,2
702,2
421,2
1001,2
601,2
440,2
262,2
721,2
421,2
401,2
261,2
301,2
261,2
242,2
641,2
381,2
321,2
261,2
261,2
421,2
301,2
241,2
301,2
261,2
282,2
261,2
241,2
401,2
341,2
261,2
261,2
962,2
561,2
620,2
381,2
682,2
441,2
321,2
261,2
641,2
381,2
261,2
862,2
561,2
321,2
782,2
481,2
781,2
480,2
642,2
401,2
321,2
281,2
242,2
280,2
301,2
261,2
242,2
261,2
981,2
601,2
421,2
261,2
381,2
242,2
261,2
320,2
322,2
281,2
281,2
521,2
301,2
361,2
262,2
241,2
280,2
242,2
1121,2
662,2
421,2
261,2
320,2
261,2
261,2
262,2
261,2
261,2
261,2
261,2
242,2
260,2
281,2
261,2
281,2
282,2
261,2
261,2
301,2
261,2
261,2
261,2
1021,2
601,2
381,2
502,2
321,2
261,2
261,2
1001,2
582,2
481,2
301,2
241,2
261,2
242,2
300,2
701,2
422,2
541,2
341,2
261,2
261,2
261,2
261,2
261,2
241,2
1202,2
721,2
501,2
341,2
361,2
261,2
261,2
241,2
521,2
322,2
240,2
962,2
582,2
561,2
360,2
722,2
441,2
641,2
381,2
281,2
261,2
261,2
322,2
261,2
261,2
241,2
301,2
281,2
261,2
241,2
261,2
282,2
260,2
261,2
261,2
242,2
280,2
301,2
262,2
1121,2
682,2
421,2
1140,2
702,2
462,2
280,2
341,2
261,2
261,2
302,2
301,2
241,2
281,2
281,2
262,2
240,2
282,2
280,2
261,2
262,2
261,2
500,2
282,2
261,2
861,2
562,2
521,2
320,2
381,2
282,2
280,2
762,2
481,2
581,2
362,2
760,2
462,2
381,2
281,2
361,2
32693,2
381,2
281,2
422,2
240,2
262,2
261,2
240,2
261,2
262,2
241,2
261,2
262,2
261,2
261,2
280,2
301,2
261,2
262,2
261,2
261,2
240,2
302,2
261,2
321,2
281,2
241,2
262,2
400,2
261,2
261,2
282,2
240,2
262,2
261,2
261,2
261,2
261,2
261,2
281,2
241,2
262,2
1481,2
881,2
941,2
1282,2
781,2
4383,2
461,2
280,2
262,2
261,2
261,2
261,2
261,2
341,2
602,2
361,2
501,2
602,2
381,2
540,2
322,2
501,2
301,2
722,2
601,2
360,2
282,2
301,2
261,2
241,2
261,2
241,2
262,2
261,2
280,2
241,2
261,2
242,2
261,2
240,2
282,2
440,2
322,2
521,2
321,2
602,2
381,2
601,2
381,2
460,2
322,2
541,2
341,2
562,2
341,2
561,2
341,2
561,2
341,2
662,2
400,2
722,2
440,2
561,2
342,2
1902,2
1141,2
821,2
481,2
322,2
261,2
1161,2
701,2
881,2
8204,2
5063,2
922,2
601,2
360,2
922,2
721,2
1242,2
881,2
981,2
602,2
440,2
882,2
781,2
461,2
661,2
401,2
321,2
241,2
261,2
502,2
960,2
1022,2
621,2
9204,2
4523,2
601,2
581,2
1002,2
641,2
420,2
462,2
261,2
782,2
480,2
4043,2
1181,2
761,2
461,2
441,2
262,2
281,2
241,2
341,2
241,2
321,2
282,2
240,2
261,2
541,2
341,2
701,2
462,2
1621,2
982,2
8584,2
3582,2
322,2
260,2
441,2
282,2
1061,2
641,2
401,2
882,2
741,2
541,2
561,2
362,2
261,2
261,2
240,2
842,2
501,2
582,2
341,2
301,2
320,2
362,2
240,2
422,2
281,2
821,2
481,2
402,2
240,2
261,2
4083,2
1841,2
1102,2
3563,2
460,2
261,2
641,2
381,2
442,2
261,2
601,2
361,2
721,2
422,2
560,2
982,2
1061,2
662,2
401,2
301,2
401,2
261,2
1861,2
1122,2
781,2
481,2
4283,2
461,2
782,2
641,2
400,2
861,2
522,2
301,2
321,2
881,2
642,2
381,2
261,2
240,2
262,2
261,2
320,2
261,2
362,2
441,2
541,2
321,2
241,2
4383,2
1022,2
901,2
960,2
742,2
441,2
721,2
422,2
580,2
362,2
620,2
381,2
462,2
301,2
461,2
322,2
540,2
322,2
360,2
261,2
421,2
362,2
281,2
241,2
261,2
322,2
261,2
480,2
301,2
521,2
382,2
421,2
321,2
321,2
882,2
941,2
841,2
621,2
1102,2
881,2
