0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,,
841,382,722,801,580,721,901,,
742,761,801,801,681,881,880,,
781,741,620,481,1021,781,981,,
820,841,842,361,1102,761,822,,
702,861,761,721,1021,801,840,,
701,782,901,662,641,921,903,,
761,720,801,720,381,842,920,,
821,702,761,702,842,821,842,,
802,701,762,721,981,841,861,,
700,761,860,681,1081,921,941,,
722,681,881,620,1041,841,681,,
822,662,782,362,921,801,921,,
821,760,700,280,941,901,841,,
761,882,742,362,942,901,921,,
701,761,841,301,860,861,861,,
801,722,781,280,821,821,781,,
842,881,701,281,761,981,881,,
781,881,701,261,762,882,942,,
721,782,801,242,881,841,841,,
781,720,861,280,821,921,801,,
861,742,761,261,761,961,982,,
822,861,761,641,781,802,981,,
720,721,821,381,962,960,861,,
782,701,861,582,920,901,920,,
842,721,822,341,882,822,962,,
821,802,721,621,761,761,921,,
780,761,761,841,821,961,822,,
722,701,921,781,961,962,920,,
841,681,802,841,801,880,1042,,
781,761,740,941,742,922,1001,,
721,821,721,842,740,920,861,,
722,721,821,780,942,902,901,,
740,722,901,802,820,821,882,,
821,781,761,921,742,1001,962,,
782,801,742,961,760,1042,800,,
722,742,741,921,983,941,902,,
820,701,501,821,941,1001,961,,
942,761,301,901,880,1081,861,,
881,802,781,962,821,1002,662,,
722,760,681,901,922,901,1180,,
700,742,821,761,881,981,942,,
701,721,981,781,821,981,881,,
761,781,862,922,841,821,922,,
702,821,800,820,881,881,660,,
760,761,722,701,861,961,402,,
802,681,801,421,761,841,841,,
702,741,801,301,882,842,641,,
740,902,741,742,1021,1021,1162,,
882,781,742,641,901,961,901,,
861,701,901,360,821,681,821,,
761,681,861,842,941,1122,922,,
741,742,761,740,982,1041,941,,
781,800,741,842,841,981,880,,
941,762,921,901,882,821,882,,
882,701,881,721,941,961,941,,
781,682,641,1081,821,821,622,,
761,700,1061,861,761,922,360,,
882,662,962,941,941,921,802,,
921,721,941,922,902,941,601,,
861,721,840,801,761,841,1201,,
741,681,782,861,841,961,962,,
802,681,841,962,961,961,861,,
881,761,841,901,962,821,920,,
841,821,721,820,800,721,1022,,
801,722,842,861,822,422,962,,
762,681,920,941,961,961,681,,
901,681,862,882,901,901,580,,
821,742,800,821,582,801,522,,
721,781,842,921,1101,921,321,,
761,700,901,921,921,861,561,,
821,642,821,881,862,861,341,,
821,681,721,802,781,922,482,,
742,782,801,781,901,941,360,,
781,880,861,861,922,841,441,,
861,742,782,801,840,881,962,,
901,741,741,761,782,782,941,,
862,741,801,661,460,481,962,,
761,822,861,701,341,480,861,,
741,861,841,901,542,341,921,,
821,741,722,581,321,261,941,,
901,741,740,981,681,242,822,,
802,801,842,681,741,740,561,,
701,822,760,882,821,442,360,,
881,721,581,881,782,621,821,,
941,760,381,2141,561,381,943,,
861,822,481,1282,981,561,880,,
762,881,721,781,801,341,882,,
841,742,781,461,801,502,1021,,
942,740,602,481,782,301,1001,,
841,842,481,300,821,541,922,,
741,821,421,261,901,341,960,,
821,761,821,562,821,581,922,,
901,722,700,361,802,341,802,,
801,821,702,421,901,501,820,,
722,841,761,281,901,322,902,,
841,762,722,541,702,360,761,,
901,740,720,340,1001,262,901,,
861,802,701,542,941,681,901,,
741,821,842,801,861,621,1062,,
822,741,840,741,801,382,1021,,
941,701,782,761,922,821,941,,
842,781,741,821,901,641,601,,
781,821,761,882,842,1081,422,,
880,742,861,840,821,941,360,,
922,721,841,822,920,922,562,,
842,761,781,721,941,821,361,,
721,822,701,781,842,841,521,,
821,761,701,821,781,542,321,,
821,720,582,881,962,400,661,,
782,902,960,821,981,861,421,,
740,881,722,741,882,542,601,,
802,782,700,822,901,301,402,,
861,760,802,880,561,861,500,,
801,822,841,782,341,621,302,,
761,801,661,741,780,382,561,,
721,742,441,781,561,780,361,,
842,700,501,801,982,701,601,,
881,762,300,1342,921,442,842,,
761,801,442,941,802,521,841,,
741,721,681,881,821,321,982,,
821,722,741,521,922,541,960,,
842,840,681,321,840,341,762,,
761,801,662,882,801,481,1081,,
761,741,721,821,821,321,1001,,
881,702,741,761,922,441,881,,
901,741,660,802,842,301,902,,
802,721,742,681,740,562,981,,
740,681,881,821,902,341,982,,
822,742,862,741,801,581,880,,
861,701,821,761,761,341,942,,
781,660,681,841,821,521,941,,
762,702,842,501,941,321,902,,
841,842,880,301,842,522,540,,
881,781,781,661,801,321,341,,
841,721,782,821,942,641,781,,
742,701,781,582,901,361,642,,
760,901,881,360,840,662,501,,
842,922,841,601,822,400,381,,
821,801,702,362,881,521,321,,
761,741,820,381,782,322,422,,
742,821,842,781,800,620,280,,
821,921,761,781,862,362,641,,
802,861,701,482,841,601,402,,
780,861,421,1121,801,401,441,,
701,882,341,821,781,501,341,,
761,842,882,842,862,322,441,,
802,740,781,620,861,561,341,,
821,882,761,902,821,361,442,,
761,821,762,761,802,541,261,,
721,781,880,781,880,321,880,,
701,721,802,741,862,621,562,,
442,861,780,441,781,382,341,,
521,802,842,262,842,541,301,,
821,721,901,4502,920,321,541,,
742,801,842,922,861,480,321,,
760,901,761,1421,882,342,682,,
