X,Class
771.0,1
781.0,1
801.5,1
761.0,1
750.0,1
821.0,1
801.5,1
821.0,1
851.0,1
821.5,1
831.5,1
781.0,1
821.5,1
801.0,1
770.5,1
801.5,1
761.0,1
791.5,1
771.5,1
781.0,1
751.5,1
750.5,1
771.0,1
761.5,1
801.0,1
771.0,1
861.5,1
741.5,1
830.5,1
831.5,1
841.5,1
781.0,1
800.5,1
771.5,1
821.0,1
791.0,1
791.5,1
771.0,1
740.0,1
771.5,1
721.5,1
760.5,1
751.5,1
700.5,1
711.0,1
771.5,1
760.5,1
791.5,1
761.0,1
781.5,1
711.5,1
811.0,1
831.5,1
791.0,1
761.0,1
761.5,1
791.0,1
811.5,1
781.0,1
811.0,1
781.0,1
781.5,1
781.0,1
761.5,1
761.0,1
801.5,1
781.0,1
791.0,1
730.0,1
721.5,1
811.0,1
812.0,1
811.5,1
731.0,1
771.0,1
831.0,1
801.5,1
791.5,1
771.0,1
811.5,1
771.0,1
801.0,1
841.0,1
811.0,1
791.0,1
731.5,1
771.0,1
701.0,1
831.5,1
771.5,1
831.5,1
782.0,1
781.5,1
740.5,1
731.0,1
811.5,1
831.5,1
841.0,1
811.0,1
791.0,1
811.0,1
821.5,1
831.0,1
821.5,1
731.0,1
781.0,1
751.5,1
780.5,1
851.5,1
791.0,1
731.5,1
691.5,1
841.5,1
820.5,1
842.0,1
891.5,1
801.5,1
811.0,1
821.0,1
801.5,1
801.0,1
771.0,1
721.0,1
821.0,1
811.0,1
711.5,1
781.0,1
781.5,1
731.0,1
721.0,1
761.0,1
821.0,1
751.5,1
731.5,1
881.0,1
821.5,1
780.5,1
771.0,1
801.0,1
842.0,1
821.0,1
810.5,1
880.5,1
882.0,1
831.5,1
881.5,1
811.0,1
881.0,1
891.5,1
841.0,1
831.5,1
831.0,1
861.0,1
891.5,1
811.0,1
851.0,1
781.0,1
791.0,1
731.5,1
851.5,1
871.5,1
870.5,1
801.0,1
880.5,1
871.5,1
900.5,1
771.5,1
851.5,1
871.5,1
841.5,1
832.0,1
851.5,1
841.0,1
891.5,1
910.5,1
901.5,1
921.5,1
881.0,1
811.5,1
831.0,1
662.0,1
891.5,1
841.5,1
811.5,1
831.0,1
820.5,1
831.0,1
861.0,1
791.0,1
801.5,1
831.0,1
890.5,1
871.0,1
821.0,1
820.5,1
902.0,1
861.0,1
920.5,1
891.5,1
891.0,1
881.0,1
931.0,1
901.0,1
891.5,1
880.0,1
911.0,1
921.5,1
881.5,1
861.5,1
881.5,1
901.5,1
901.5,1
822.0,1
741.0,1
921.0,1
861.0,1
762.0,1
822.0,1
842.0,1
781.0,1
