MedianNN,MeanNN,SDNN,Class
771.0,767.1,51.335,1
781.0,775.3,45.78,1
801.5,797.2,46.456,1
761.0,787.3,73.736,1
750.0,761.1,64.068,1
821.0,831.2,70.144,1
801.5,803.2,56.101,1
821.0,811.2,51.538,1
851.0,847.3,72.64,1
821.5,815.2,61.209,1
831.5,835.3,63.277,1
781.0,791.1,52.557,1
821.5,819.2,51.119,1
801.0,803.2,45.073,1
770.5,771.2,39.298,1
801.5,817.2,72.069,1
761.0,761.1,42.051,1
791.5,783.3,50.15,1
771.5,783.2,52.493,1
781.0,789.2,65.522,1
751.5,747.2,34.727,1
750.5,751.2,49.359,1
771.0,783.1,52.685,1
761.5,763.2,46.082,1
801.0,795.2,71.239,1
771.0,779.2,36.512,1
861.5,855.2,31.221,1
741.5,765.3,59.38,1
830.5,829.1,56.559,1
831.5,837.3,58.404,1
841.5,829.1,46.597,1
781.0,785.3,38.91,1
800.5,791.1,36.145,1
771.5,777.3,38.663,1
821.0,821.1,55.714,1
791.0,789.2,54.418,1
791.5,791.3,72.458,1
771.0,783.3,43.211,1
740.0,747.1,63.145,1
771.5,795.3,68.761,1
721.5,739.2,43.416,1
760.5,759.2,31.578,1
751.5,761.1,65.24,1
700.5,707.2,32.279,1
711.0,723.3,54.03,1
771.5,789.2,52.165,1
760.5,781.2,53.034,1
791.5,783.1,43.404,1
761.0,785.2,60.191,1
781.5,771.2,45.745,1
711.5,723.3,47.193,1
811.0,817.1,78.006,1
831.5,819.3,54.384,1
791.0,791.2,65.667,1
761.0,763.1,38.42,1
761.5,773.3,46.573,1
791.0,797.3,46.117,1
811.5,795.1,46.535,1
781.0,781.2,45.873,1
811.0,799.2,44.328,1
781.0,789.2,51.934,1
781.5,789.2,53.527,1
781.0,785.2,44.483,1
761.5,779.3,45.186,1
761.0,765.1,44.223,1
801.5,799.3,46.275,1
781.0,791.2,53.256,1
791.0,783.3,49.348,1
730.0,727.1,52.91,1
721.5,741.2,52.767,1
811.0,821.1,63.056,1
812.0,809.3,48.285,1
811.5,815.2,43.575,1
731.0,755.2,57.958,1
771.0,773.2,44.937,1
831.0,827.2,49.94,1
801.5,783.2,73.619,1
791.5,805.1,60.561,1
771.0,777.1,51.932,1
811.5,807.1,68.258,1
771.0,789.2,80.53,1
801.0,815.1,66.853,1
841.0,833.1,93.883,1
811.0,813.2,53.175,1
791.0,789.0,49.279,1
731.5,751.1,51.64,1
771.0,783.0,81.046,1
701.0,713.1,53.869,1
831.5,819.2,60.903,1
771.5,785.3,57.149,1
831.5,831.1,41.213,1
782.0,781.3,66.726,1
781.5,783.2,24.4,1
740.5,737.2,69.123,1
731.0,731.2,42.194,1
811.5,819.3,53.904,1
831.5,837.2,50.418,1
841.0,811.3,74.286,1
811.0,811.2,56.217,1
791.0,783.1,56.887,1
811.0,805.2,39.734,1
821.5,819.3,65.465,1
831.0,825.1,51.335,1
821.5,821.3,95.814,1
731.0,755.2,62.28,1
781.0,775.1,53.457,1
751.5,757.3,54.135,1
780.5,793.2,60.063,1
851.5,837.2,45.98,1
791.0,783.1,80.571,1
731.5,741.1,57.795,1
691.5,689.0,53.107,1
841.5,863.1,64.155,1
820.5,831.2,82.27,1
842.0,821.2,91.018,1
891.5,889.1,46.073,1
801.5,813.1,90.85,1
811.0,807.1,64.087,1
821.0,807.2,49.699,1
801.5,809.2,72.312,1
801.0,787.1,53.056,1
771.0,787.2,106.93,1
721.0,715.0,46.351,1
821.0,791.2,66.001,1
811.0,793.2,71.719,1
711.5,735.4,74.975,1
781.0,771.3,65.988,1
781.5,793.2,102.603,1
731.0,741.2,51.423,1
721.0,729.2,74.652,1
761.0,759.3,74.306,1
821.0,803.2,48.738,1
751.5,759.2,61.619,1
731.5,733.2,49.106,1
881.0,871.2,57.69,1
821.5,819.3,62.75,1
780.5,797.2,79.058,1
771.0,783.3,78.759,1
801.0,795.0,67.648,1
842.0,839.4,108.636,1
821.0,833.0,67.56,1
810.5,821.2,78.106,1
880.5,873.1,62.051,1
882.0,881.3,61.483,1
831.5,857.2,74.417,1
881.5,855.2,81.036,1
811.0,825.2,64.858,1
881.0,857.4,68.931,1
891.5,881.1,68.851,1
841.0,867.4,60.296,1
831.5,845.2,68.955,1
831.0,827.2,33.618,1
861.0,851.2,38.943,1
891.5,879.2,55.508,1
811.0,823.2,53.885,1
851.0,847.3,53.524,1
781.0,787.2,42.023,1
791.0,809.2,56.755,1
731.5,763.2,75.363,1
851.5,847.2,77.14,1
871.5,873.2,29.856,1
870.5,861.3,57.796,1
801.0,789.0,90.379,1
880.5,879.2,47.594,1
871.5,853.2,52.986,1
900.5,885.2,58.058,1
771.5,791.2,98.815,1
851.5,815.1,111.22,1
871.5,867.3,58.827,1
841.5,855.2,59.252,1
832.0,821.3,86.651,1
851.5,845.2,60.653,1
841.0,841.1,51.382,1
891.5,887.1,55.162,1
910.5,889.1,68.023,1
901.5,903.1,58.955,1
921.5,885.2,88.445,1
881.0,875.0,76.446,1
811.5,789.1,113.007,1
831.0,811.0,100.639,1
662.0,681.3,67.915,1
891.5,879.2,50.884,1
841.5,849.3,56.03,1
811.5,817.2,77.988,1
831.0,811.3,83.751,1
820.5,789.2,102.183,1
831.0,819.2,94.853,1
861.0,839.3,88.122,1
791.0,803.2,135.704,1
801.5,813.2,98.425,1
831.0,802.9,89.066,1
890.5,877.0,102.627,1
871.0,853.3,87.687,1
821.0,821.3,92.348,1
820.5,827.2,93.712,1
902.0,899.2,52.4,1
861.0,853.1,72.758,1
920.5,903.3,63.649,1
891.5,871.2,83.478,1
891.0,847.2,105.499,1
881.0,851.3,110.971,1
931.0,905.4,52.244,1
901.0,877.3,59.22,1
891.5,875.3,97.898,1
880.0,827.3,123.875,1
911.0,891.3,81.769,1
921.5,895.3,60.628,1
881.5,899.1,41.198,1
861.5,861.3,52.881,1
881.5,867.3,116.879,1
901.5,885.2,75.092,1
901.5,899.1,51.853,1
822.0,847.778,57.84,1
741.0,768.0,116.905,1
921.0,903.556,59.874,1
861.0,863.444,53.658,1
762.0,765.667,45.08,1
822.0,841.222,74.061,1
842.0,825.667,115.281,1
781.0,790.111,134.699,1
