MedianX,MeanX,SDX,Class
36.8,36.776,0.103,0.0
36.95,36.936,0.043,0.0
36.22,36.257,0.244,0.0
36.22,36.19,0.175,0.0
36.8,36.749,0.067,0.0
36.95,36.882,0.075,0.0
36.95,36.936,0.043,0.0
36.95,36.95,0.0,0.0
36.95,36.95,0.0,0.0
36.95,36.95,0.0,0.0
36.51,36.564,0.273,0.0
36.07,36.015,0.096,0.0
35.92,35.869,0.067,0.0
35.78,35.766,0.043,0.0
35.63,35.671,0.067,0.0
35.63,35.616,0.1,0.0
35.34,36.564,1.397,0.0
37.98,38.031,0.067,0.0
37.98,37.98,0.0,0.0
37.98,37.98,0.0,0.0
38.12,38.095,0.054,0.0
38.12,38.095,0.054,0.0
38.12,38.12,0.0,0.0
38.12,38.12,0.0,0.0
38.12,38.107,0.04,0.0
38.12,38.188,0.075,0.0
38.27,38.27,0.0,0.0
38.27,38.284,0.043,0.0
38.27,38.297,0.058,0.0
38.42,38.352,0.075,0.0
38.27,38.311,0.067,0.0
38.27,38.284,0.043,0.0
38.27,38.311,0.067,0.0
38.27,38.284,0.043,0.0
38.27,38.27,0.0,0.0
38.27,38.284,0.043,0.0
38.27,38.297,0.058,0.0
38.27,38.311,0.067,0.0
38.27,38.27,0.0,0.0
38.27,38.27,0.0,0.0
38.27,38.27,0.0,0.0
38.27,38.27,0.0,0.0
38.27,38.27,0.0,0.0
38.27,38.27,0.0,0.0
38.27,38.27,0.0,0.0
38.27,38.243,0.058,0.0
38.27,38.27,0.0,0.0
38.27,38.27,0.0,0.0
38.27,38.202,0.075,0.0
38.12,38.134,0.043,0.0
38.12,38.134,0.043,0.0
38.12,38.12,0.0,0.0
38.27,38.229,0.067,0.0
38.27,38.256,0.043,0.0
38.27,38.229,0.067,0.0
38.27,38.27,0.0,0.0
36.07,36.577,0.986,0.0
36.07,36.015,0.072,0.0
36.07,36.002,0.075,0.0
36.07,36.002,0.075,0.0
35.92,35.988,0.098,0.0
35.92,35.975,0.072,0.0
36.07,36.015,0.096,0.0
36.07,36.029,0.092,0.0
35.92,35.961,0.067,0.0
35.92,35.975,0.072,0.0
35.92,35.961,0.067,0.0
36.07,36.043,0.086,0.0
36.07,36.002,0.075,0.0
35.92,35.961,0.067,0.0
36.07,36.002,0.075,0.0
35.92,35.961,0.067,0.0
35.92,35.975,0.072,0.0
36.07,36.07,0.128,0.0
36.07,36.084,0.1,0.0
36.07,36.084,0.1,0.0
36.22,37.497,1.836,0.0
39.44,39.456,0.159,0.0
39.0,38.976,0.136,0.0
38.56,38.551,0.17,0.0
38.12,38.189,0.169,0.0
37.83,37.948,0.162,0.0
37.68,37.71,0.137,0.0
37.54,37.565,0.082,0.0
37.24,37.229,0.097,0.0
37.24,37.189,0.143,0.0
36.95,36.964,0.1,0.0
36.8,36.803,0.107,0.0
36.66,36.725,0.094,0.0
36.8,36.736,0.07,0.0
36.66,37.564,1.324,0.0
38.86,38.978,0.136,0.0
38.86,38.83,0.121,0.0
38.71,38.791,0.096,0.0
38.56,38.564,0.153,0.0
38.56,38.551,0.13,0.0
38.42,38.417,0.107,0.0
38.27,38.325,0.072,0.0
38.27,38.27,0.143,0.0
38.27,38.695,0.732,0.0
39.74,39.764,0.103,0.0
39.59,39.616,0.153,0.0
39.59,39.485,0.14,0.0
39.3,39.284,0.145,0.0
39.15,39.15,0.128,0.0
39.15,39.071,0.144,0.0
38.86,38.845,0.097,0.0
38.71,38.803,0.128,0.0
38.86,38.777,0.132,0.0
38.71,38.697,0.148,0.0
38.42,38.511,0.111,0.0
38.56,38.549,0.159,0.0
38.42,38.403,0.131,0.0
38.49,38.928,0.787,0.0
39.74,39.709,0.088,0.0
39.59,39.517,0.209,0.0
39.3,39.312,0.189,0.0
39.15,39.121,0.214,0.0
38.86,38.931,0.096,0.0
38.86,38.828,0.109,0.0
38.785,38.712,0.174,0.0
38.56,38.621,0.118,0.0
38.49,38.505,0.149,0.0
38.42,38.446,0.143,0.0
38.195,38.255,0.211,0.0
38.27,38.241,0.145,0.0
38.27,38.226,0.115,0.0
37.98,38.066,0.116,0.0
37.98,37.964,0.079,0.0
37.98,37.993,0.121,0.0
37.98,37.977,0.161,0.0
37.83,37.786,0.16,0.0
39.295,39.31,1.542,0.0
40.91,40.85,0.073,0.0
40.91,40.865,0.069,0.0
40.91,40.91,0.0,0.0
40.91,40.865,0.069,0.0
40.91,40.85,0.073,0.0
40.76,40.806,0.094,0.0
40.76,40.82,0.073,0.0
40.76,40.776,0.079,0.0
40.91,40.85,0.073,0.0
40.76,40.763,0.112,0.0
40.76,40.734,0.108,0.0
40.76,40.792,0.109,0.0
40.91,40.85,0.073,0.0
40.76,40.761,0.065,0.0
40.76,40.777,0.102,0.0
40.76,40.747,0.077,0.0
40.62,40.706,0.116,0.0
40.69,40.69,0.07,0.0
40.76,40.748,0.101,0.0
40.62,40.619,0.065,0.0
40.62,40.605,0.045,0.0
40.62,40.662,0.064,0.0
40.62,40.648,0.109,0.0
40.62,40.59,0.06,0.0
40.62,40.634,0.042,0.0
40.62,40.619,0.065,0.0
40.47,40.515,0.096,0.0
40.47,40.544,0.098,0.0
40.62,40.529,0.151,0.0
40.62,40.589,0.088,0.0
40.545,40.559,0.097,0.0
40.47,40.53,0.073,0.0
40.47,40.515,0.069,0.0
40.47,40.47,0.095,0.0
40.394999999999996,40.395,0.075,0.0
40.47,40.41,0.073,0.0
40.32,40.336,0.079,0.0
40.32,40.336,0.079,0.0
40.32,40.38,0.12,0.0
40.394999999999996,40.396,0.119,0.0
40.32,40.366,0.094,0.0
40.32,40.381,0.118,0.0
40.32,40.308,0.101,0.0
40.32,40.294,0.143,0.0
40.32,40.264,0.116,0.0
40.18,40.236,0.116,0.0
40.32,40.324,0.13,0.0
40.32,40.293,0.086,0.0
40.32,40.322,0.131,0.0
40.32,40.294,0.108,0.0
40.32,40.351,0.088,0.0
40.32,40.351,0.088,0.0
40.32,40.352,0.128,0.0
40.32,40.308,0.166,0.0
40.32,40.307,0.077,0.0
40.32,40.308,0.101,0.0
40.32,40.279,0.092,0.0
40.25,40.25,0.07,0.0
40.18,40.193,0.121,0.0
40.18,40.222,0.064,0.0
40.25,40.25,0.07,0.0
40.32,40.293,0.086,0.0
40.32,40.351,0.088,0.0
40.32,40.306,0.102,0.0
40.32,40.294,0.108,0.0
40.32,40.292,0.109,0.0
40.32,40.38,0.073,0.0
40.32,40.321,0.065,0.0
40.32,40.307,0.077,0.0
40.32,40.323,0.112,0.0
40.32,40.279,0.092,0.0
40.32,40.336,0.079,0.0
40.32,40.336,0.079,0.0
40.32,40.351,0.088,0.0
40.394999999999996,40.425,0.117,0.0
40.32,40.321,0.065,0.0
40.32,40.352,0.128,0.0
40.32,40.322,0.092,0.0
40.32,40.395,0.101,0.0
40.32,40.336,0.079,0.0
40.32,40.307,0.077,0.0
40.32,40.366,0.094,0.0
40.32,40.321,0.065,0.0
40.32,40.337,0.102,0.0
40.32,40.38,0.073,0.0
40.32,40.279,0.092,0.0
40.32,40.308,0.101,0.0
40.25,40.265,0.095,0.0
40.32,40.322,0.092,0.0
40.32,40.335,0.045,0.0
40.32,40.351,0.088,0.0
40.32,40.35,0.06,0.0
40.32,40.292,0.109,0.0
40.25,40.22,0.113,0.0
40.25,40.265,0.095,0.0
40.32,40.365,0.069,0.0
40.32,40.335,0.045,0.0
40.32,40.322,0.092,0.0
40.32,40.352,0.128,0.0
40.32,40.323,0.112,0.0
40.32,40.337,0.102,0.0
40.32,40.366,0.094,0.0
40.32,40.307,0.077,0.0
40.32,40.336,0.079,0.0
40.394999999999996,40.396,0.119,0.0
40.394999999999996,40.367,0.114,0.0
40.32,40.366,0.116,0.0
40.47,40.425,0.096,0.0
40.32,40.352,0.109,0.0
40.32,40.366,0.094,0.0
40.32,40.335,0.045,0.0
40.394999999999996,40.381,0.097,0.0
40.32,40.38,0.099,0.0
40.394999999999996,40.367,0.114,0.0
40.32,40.395,0.101,0.0
40.32,40.336,0.079,0.0
40.32,40.306,0.042,0.0
40.32,40.307,0.077,0.0
40.32,40.337,0.102,0.0
40.32,40.336,0.079,0.0
40.394999999999996,40.395,0.075,0.0
40.32,40.337,0.102,0.0
40.32,40.264,0.069,0.0
40.32,40.292,0.109,0.0
40.25,40.28,0.113,0.0
40.32,40.308,0.101,0.0
40.18,40.236,0.116,0.0
40.32,40.307,0.077,0.0
40.18,40.237,0.095,0.0
40.18,40.236,0.116,0.0
40.32,40.279,0.092,0.0
40.32,40.44,0.333,0.0
40.545,40.529,0.286,0.0
40.91,40.764,0.226,0.0
40.62,40.618,0.092,0.0
40.394999999999996,40.368,0.147,0.0
40.03,40.148,0.184,0.0
40.69,40.72,0.173,0.0
40.32,40.381,0.118,0.0
40.105000000000004,40.104,0.119,0.0
