X,Class
36.8,0.0
36.95,0.0
36.22,0.0
36.22,0.0
36.8,0.0
36.95,0.0
36.95,0.0
36.95,0.0
36.95,0.0
36.95,0.0
36.51,0.0
36.07,0.0
35.92,0.0
35.78,0.0
35.63,0.0
35.63,0.0
35.34,0.0
37.98,0.0
37.98,0.0
37.98,0.0
38.12,0.0
38.12,0.0
38.12,0.0
38.12,0.0
38.12,0.0
38.12,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.42,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.12,0.0
38.12,0.0
38.12,0.0
38.27,0.0
38.27,0.0
38.27,0.0
38.27,0.0
36.07,0.0
36.07,0.0
36.07,0.0
36.07,0.0
35.92,0.0
35.92,0.0
36.07,0.0
36.07,0.0
35.92,0.0
35.92,0.0
35.92,0.0
36.07,0.0
36.07,0.0
35.92,0.0
36.07,0.0
35.92,0.0
35.92,0.0
36.07,0.0
36.07,0.0
36.07,0.0
36.22,0.0
39.44,0.0
39.0,0.0
38.56,0.0
38.12,0.0
37.83,0.0
37.68,0.0
37.54,0.0
37.24,0.0
37.24,0.0
36.95,0.0
36.8,0.0
36.66,0.0
36.8,0.0
36.66,0.0
38.86,0.0
38.86,0.0
38.71,0.0
38.56,0.0
38.56,0.0
38.42,0.0
38.27,0.0
38.27,0.0
38.27,0.0
39.74,0.0
39.59,0.0
39.59,0.0
39.3,0.0
39.15,0.0
39.15,0.0
38.86,0.0
38.71,0.0
38.86,0.0
38.71,0.0
38.42,0.0
38.56,0.0
38.42,0.0
38.49,0.0
39.74,0.0
39.59,0.0
39.3,0.0
39.15,0.0
38.86,0.0
38.86,0.0
38.785,0.0
38.56,0.0
38.49,0.0
38.42,0.0
38.195,0.0
38.27,0.0
38.27,0.0
37.98,0.0
37.98,0.0
37.98,0.0
37.98,0.0
37.83,0.0
39.295,0.0
40.91,0.0
40.91,0.0
40.91,0.0
40.91,0.0
40.91,0.0
40.76,0.0
40.76,0.0
40.76,0.0
40.91,0.0
40.76,0.0
40.76,0.0
40.76,0.0
40.91,0.0
40.76,0.0
40.76,0.0
40.76,0.0
40.62,0.0
40.69,0.0
40.76,0.0
40.62,0.0
40.62,0.0
40.62,0.0
40.62,0.0
40.62,0.0
40.62,0.0
40.62,0.0
40.47,0.0
40.47,0.0
40.62,0.0
40.62,0.0
40.545,0.0
40.47,0.0
40.47,0.0
40.47,0.0
40.394999999999996,0.0
40.47,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.394999999999996,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.18,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.25,0.0
40.18,0.0
40.18,0.0
40.25,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.394999999999996,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.25,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.25,0.0
40.25,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.394999999999996,0.0
40.394999999999996,0.0
40.32,0.0
40.47,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.394999999999996,0.0
40.32,0.0
40.394999999999996,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.394999999999996,0.0
40.32,0.0
40.32,0.0
40.32,0.0
40.25,0.0
40.32,0.0
40.18,0.0
40.32,0.0
40.18,0.0
40.18,0.0
40.32,0.0
40.32,0.0
40.545,0.0
40.91,0.0
40.62,0.0
40.394999999999996,0.0
40.03,0.0
40.69,0.0
40.32,0.0
40.105000000000004,0.0
