X,Class
36.95,0
36.95,0
36.8,0
36.66,0
36.66,0
36.66,0
36.66,0
36.8,0
36.8,0
36.8,0
36.8,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.8,0
36.66,0
36.66,0
36.51,0
36.22,0
36.36,0
36.07,0
36.22,0
36.07,0
36.07,0
35.92,0
36.07,0
35.92,0
35.92,0
36.07,0
36.07,0
36.22,0
36.22,0
36.22,0
36.22,0
36.36,0
36.36,0
36.51,0
36.66,0
36.66,0
36.66,0
36.66,0
36.8,0
36.8,0
36.8,0
36.8,0
36.8,0
36.8,0
36.8,0
36.8,0
36.95,0
36.8,0
36.8,0
36.95,0
36.95,0
36.8,0
36.95,0
36.8,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.8,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.8,0
36.8,0
36.66,0
36.51,0
36.51,0
36.36,0
36.22,0
36.22,0
36.22,0
36.22,0
36.07,0
36.07,0
36.07,0
36.07,0
36.07,0
35.92,0
35.92,0
35.92,0
35.92,0
35.92,0
35.92,0
35.92,0
35.92,0
35.78,0
35.92,0
35.78,0
35.92,0
35.92,0
35.92,0
35.78,0
35.78,0
35.78,0
35.78,0
35.78,0
35.78,0
35.78,0
35.78,0
35.78,0
35.78,0
35.63,0
35.78,0
35.78,0
35.63,0
35.63,0
35.78,0
35.78,0
35.63,0
35.63,0
35.63,0
35.63,0
35.63,0
35.78,0
35.63,0
35.63,0
35.78,0
35.78,0
35.63,0
35.63,0
35.63,0
35.63,0
35.63,0
35.48,0
35.48,0
35.48,0
35.34,0
35.34,0
35.34,0
35.19,0
35.34,0
35.19,0
38.12,0
38.12,0
37.98,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
37.98,0
38.12,0
38.12,0
37.98,0
38.12,0
38.12,0
37.98,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
37.98,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
37.98,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
37.98,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.12,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.42,0
38.27,0
38.27,0
38.27,0
38.27,0
38.42,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.42,0
38.27,0
38.27,0
38.27,0
38.42,0
38.42,0
38.42,0
38.27,0
38.27,0
38.42,0
38.42,0
38.42,0
38.42,0
38.27,0
38.27,0
38.42,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.42,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.42,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.42,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.42,0
38.42,0
38.42,0
38.27,0
38.27,0
38.27,0
38.27,0
