X,Class
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.32,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.32,2.0
62.17,2.0
62.32,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.02,2.0
62.02,2.0
61.88,2.0
61.88,2.0
62.02,2.0
61.88,2.0
62.02,2.0
61.88,2.0
61.88,2.0
62.02,2.0
62.02,2.0
61.88,2.0
62.02,2.0
62.02,2.0
61.88,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.17,2.0
62.17,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.12,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.12,2.0
60.12,2.0
60.26,2.0
60.12,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.26,2.0
60.26,2.0
60.41,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.41,2.0
61.44,2.0
61.29,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.58,2.0
61.73,2.0
61.73,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.32,2.0
62.32,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.02,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.02,2.0
62.02,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.88,2.0
62.02,2.0
62.17,2.0
62.17,2.0
62.02,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.32,2.0
62.32,2.0
62.245000000000005,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
62.02,2.0
61.88,2.0
61.88,2.0
62.02,2.0
61.95,2.0
61.88,2.0
62.02,2.0
62.095,2.0
61.95,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
62.02,2.0
62.02,2.0
61.95,2.0
61.95,2.0
61.88,2.0
61.88,2.0
61.73,2.0
61.88,2.0
61.95,2.0
63.565,2.0
64.66,2.0
65.1,2.0
65.4,2.0
65.4,2.0
65.61500000000001,2.0
65.69,2.0
65.54,2.0
65.54,2.0
65.69,2.0
65.61500000000001,2.0
65.54,2.0
65.47,2.0
65.47,2.0
65.61500000000001,2.0
65.54,2.0
65.54,2.0
65.69,2.0
65.61500000000001,2.0
65.47,2.0
65.4,2.0
65.25,2.0
65.1,2.0
65.1,2.0
64.81,2.0
64.52,2.0
63.635000000000005,2.0
60.12,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.485,2.0
60.41,2.0
60.56,2.0
60.41,2.0
60.56,2.0
60.41,2.0
60.56,2.0
60.56,2.0
60.41,2.0
60.41,2.0
60.56,2.0
60.485,2.0
60.41,2.0
60.12,2.0
60.19,2.0
