X,Class
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.245000000000005,2.0
62.17,2.0
62.17,2.0
62.245000000000005,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.32,2.0
62.17,2.0
62.17,2.0
62.095,2.0
62.02,2.0
62.02,2.0
61.95,2.0
61.88,2.0
61.88,2.0
62.02,2.0
61.88,2.0
62.02,2.0
61.88,2.0
61.88,2.0
62.02,2.0
62.02,2.0
61.88,2.0
62.02,2.0
62.02,2.0
61.88,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.095,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.17,2.0
62.17,2.0
61.14,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.19,2.0
60.19,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.12,2.0
60.12,2.0
60.19,2.0
60.19,2.0
60.19,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.41,2.0
60.334999999999994,2.0
60.26,2.0
60.41,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.334999999999994,2.0
60.334999999999994,2.0
61.44,2.0
61.29,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.44,2.0
61.58,2.0
61.58,2.0
61.73,2.0
61.73,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.17,2.0
62.17,2.0
62.02,2.0
62.17,2.0
62.32,2.0
62.32,2.0
62.32,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.02,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.02,2.0
61.88,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.73,2.0
61.88,2.0
62.02,2.0
62.17,2.0
62.17,2.0
62.02,2.0
62.17,2.0
62.17,2.0
62.17,2.0
62.32,2.0
62.17,2.0
62.32,2.0
62.32,2.0
62.32,2.0
62.17,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
62.02,2.0
61.88,2.0
61.88,2.0
62.02,2.0
62.02,2.0
61.88,2.0
61.88,2.0
62.02,2.0
62.02,2.0
62.02,2.0
61.88,2.0
61.88,2.0
61.88,2.0
61.88,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
62.02,2.0
61.88,2.0
61.88,2.0
61.73,2.0
61.88,2.0
61.88,2.0
62.61,2.0
60.12,2.0
60.26,2.0
60.26,2.0
60.26,2.0
60.56,2.0
60.41,2.0
60.41,2.0
60.56,2.0
60.41,2.0
60.56,2.0
60.41,2.0
60.56,2.0
60.56,2.0
60.41,2.0
60.41,2.0
60.56,2.0
60.56,2.0
60.41,2.0
60.41,2.0
60.12,2.0
60.26,2.0
