MedianX,MeanX,SDX,Class
62.17,62.215,0.069,2.0
62.17,62.155,0.045,2.0
62.17,62.11,0.073,2.0
62.17,62.2,0.09,2.0
62.17,62.17,0.067,2.0
62.245000000000005,62.245,0.075,2.0
62.17,62.185,0.045,2.0
62.17,62.215,0.069,2.0
62.245000000000005,62.215,0.117,2.0
62.17,62.215,0.096,2.0
62.17,62.2,0.112,2.0
62.17,62.155,0.081,2.0
62.17,62.17,0.067,2.0
62.17,62.17,0.067,2.0
62.17,62.23,0.073,2.0
62.17,62.215,0.096,2.0
62.17,62.215,0.096,2.0
62.32,62.26,0.073,2.0
62.17,62.215,0.069,2.0
62.17,62.23,0.073,2.0
62.095,62.095,0.075,2.0
62.02,62.051,0.088,2.0
62.02,62.006,0.042,2.0
61.95,61.95,0.07,2.0
61.88,61.922,0.064,2.0
61.88,61.921,0.092,2.0
62.02,61.979,0.092,2.0
61.88,61.936,0.069,2.0
62.02,62.007,0.077,2.0
61.88,61.908,0.056,2.0
61.88,61.922,0.064,2.0
62.02,61.964,0.069,2.0
62.02,61.964,0.069,2.0
61.88,61.922,0.064,2.0
62.02,61.978,0.064,2.0
62.02,61.978,0.064,2.0
61.88,61.922,0.064,2.0
62.02,61.979,0.092,2.0
62.02,62.007,0.077,2.0
62.02,61.994,0.108,2.0
62.02,62.006,0.042,2.0
62.02,62.02,0.0,2.0
62.02,62.051,0.088,2.0
62.02,62.007,0.077,2.0
62.02,62.08,0.073,2.0
62.02,62.035,0.045,2.0
62.02,62.05,0.06,2.0
62.02,62.035,0.045,2.0
62.095,62.095,0.075,2.0
62.02,62.051,0.088,2.0
62.02,62.05,0.06,2.0
62.02,62.051,0.088,2.0
62.02,62.08,0.073,2.0
62.17,62.125,0.096,2.0
62.17,62.17,0.095,2.0
61.14,61.186,0.956,2.0
60.26,60.26,0.0,2.0
60.26,60.218,0.064,2.0
60.26,60.246,0.042,2.0
60.26,60.204,0.069,2.0
60.19,60.19,0.07,2.0
60.19,60.19,0.07,2.0
60.26,60.218,0.064,2.0
60.26,60.232,0.056,2.0
60.26,60.218,0.064,2.0
60.12,60.176,0.069,2.0
60.12,60.162,0.064,2.0
60.19,60.19,0.07,2.0
60.19,60.19,0.07,2.0
60.19,60.19,0.07,2.0
60.26,60.232,0.056,2.0
60.26,60.218,0.064,2.0
60.26,60.232,0.056,2.0
60.26,60.26,0.0,2.0
60.26,60.261,0.065,2.0
60.26,60.261,0.065,2.0
60.26,60.26,0.0,2.0
60.26,60.305,0.069,2.0
60.26,60.32,0.073,2.0
60.41,60.365,0.069,2.0
60.41,60.38,0.06,2.0
60.41,60.41,0.067,2.0
60.41,60.44,0.06,2.0
60.41,60.395,0.081,2.0
60.41,60.425,0.045,2.0
60.41,60.425,0.045,2.0
60.41,60.395,0.045,2.0
60.41,60.425,0.045,2.0
60.41,60.41,0.0,2.0
60.41,60.425,0.045,2.0
60.41,60.41,0.067,2.0
60.41,60.35,0.073,2.0
60.334999999999994,60.335,0.075,2.0
60.26,60.32,0.073,2.0
60.41,60.365,0.069,2.0
60.26,60.29,0.06,2.0
60.26,60.275,0.045,2.0
60.26,60.26,0.0,2.0
60.26,60.29,0.06,2.0
60.26,60.275,0.045,2.0
60.26,60.276,0.079,2.0
60.26,60.276,0.079,2.0
60.26,60.233,0.086,2.0
60.26,60.232,0.056,2.0
60.26,60.26,0.0,2.0
60.26,60.29,0.06,2.0
60.26,60.29,0.06,2.0
60.26,60.276,0.079,2.0
60.26,60.29,0.06,2.0
60.334999999999994,60.335,0.075,2.0
60.334999999999994,60.335,0.075,2.0
61.44,61.38,0.073,2.0
61.29,61.32,0.06,2.0
61.44,61.409,0.088,2.0
61.44,61.394,0.094,2.0
61.44,61.425,0.045,2.0
61.44,61.409,0.088,2.0
61.44,61.425,0.045,2.0
