X,Class
62.215,2.0
62.155,2.0
62.11,2.0
62.2,2.0
62.17,2.0
62.245,2.0
62.185,2.0
62.215,2.0
62.215,2.0
62.215,2.0
62.2,2.0
62.155,2.0
62.17,2.0
62.17,2.0
62.23,2.0
62.215,2.0
62.215,2.0
62.26,2.0
62.215,2.0
62.23,2.0
62.095,2.0
62.051,2.0
62.006,2.0
61.95,2.0
61.922,2.0
61.921,2.0
61.979,2.0
61.936,2.0
62.007,2.0
61.908,2.0
61.922,2.0
61.964,2.0
61.964,2.0
61.922,2.0
61.978,2.0
61.978,2.0
61.922,2.0
61.979,2.0
62.007,2.0
61.994,2.0
62.006,2.0
62.02,2.0
62.051,2.0
62.007,2.0
62.08,2.0
62.035,2.0
62.05,2.0
62.035,2.0
62.095,2.0
62.051,2.0
62.05,2.0
62.051,2.0
62.08,2.0
62.125,2.0
62.17,2.0
61.186,2.0
60.26,2.0
60.218,2.0
60.246,2.0
60.204,2.0
60.19,2.0
60.19,2.0
60.218,2.0
60.232,2.0
60.218,2.0
60.176,2.0
60.162,2.0
60.19,2.0
60.19,2.0
60.19,2.0
60.232,2.0
60.218,2.0
60.232,2.0
60.26,2.0
60.261,2.0
60.261,2.0
60.26,2.0
60.305,2.0
60.32,2.0
60.365,2.0
60.38,2.0
60.41,2.0
60.44,2.0
60.395,2.0
60.425,2.0
60.425,2.0
60.395,2.0
60.425,2.0
60.41,2.0
60.425,2.0
60.41,2.0
60.35,2.0
60.335,2.0
60.32,2.0
60.365,2.0
60.29,2.0
60.275,2.0
60.26,2.0
60.29,2.0
60.275,2.0
60.276,2.0
60.276,2.0
60.233,2.0
60.232,2.0
60.26,2.0
60.29,2.0
60.29,2.0
60.276,2.0
60.29,2.0
60.335,2.0
60.335,2.0
61.38,2.0
61.32,2.0
61.409,2.0
61.394,2.0
61.425,2.0
61.409,2.0
61.425,2.0
61.454,2.0
61.425,2.0
61.439,2.0
61.439,2.0
61.553,2.0
61.64,2.0
61.715,2.0
61.745,2.0
61.85,2.0
61.834,2.0
61.85,2.0
61.908,2.0
61.964,2.0
62.021,2.0
61.978,2.0
62.08,2.0
62.187,2.0
62.203,2.0
62.071,2.0
62.203,2.0
62.253,2.0
62.32,2.0
62.269,2.0
62.203,2.0
62.153,2.0
62.153,2.0
62.12,2.0
62.087,2.0
62.103,2.0
62.187,2.0
62.103,2.0
62.187,2.0
62.137,2.0
62.037,2.0
61.942,2.0
61.747,2.0
61.713,2.0
61.73,2.0
61.747,2.0
61.73,2.0
61.73,2.0
61.68,2.0
61.78,2.0
61.78,2.0
61.959,2.0
62.053,2.0
62.137,2.0
62.137,2.0
62.071,2.0
62.12,2.0
62.187,2.0
62.187,2.0
62.269,2.0
62.237,2.0
62.269,2.0
62.32,2.0
62.303,2.0
62.17,2.0
62.07,2.0
62.021,2.0
62.004,2.0
62.021,2.0
62.006,2.0
62.021,2.0
62.038,2.0
62.006,2.0
61.958,2.0
61.91,2.0
61.879,2.0
61.91,2.0
61.896,2.0
61.862,2.0
61.879,2.0
61.896,2.0
61.911,2.0
61.942,2.0
61.927,2.0
61.942,2.0
61.989,2.0
61.894,2.0
61.942,2.0
61.941,2.0
61.958,2.0
61.926,2.0
61.926,2.0
62.022,2.0
62.058,2.0
61.974,2.0
61.942,2.0
61.942,2.0
61.86,2.0
61.893,2.0
62.04,2.0
62.058,2.0
61.941,2.0
61.957,2.0
61.908,2.0
61.846,2.0
61.959,2.0
61.746,2.0
61.829,2.0
61.91,2.0
62.203,2.0
60.183,2.0
60.23,2.0
60.311,2.0
60.293,2.0
60.51,2.0
60.377,2.0
60.477,2.0
60.493,2.0
60.477,2.0
60.492,2.0
60.443,2.0
60.557,2.0
60.509,2.0
60.508,2.0
60.459,2.0
60.526,2.0
60.523,2.0
60.443,2.0
60.328,2.0
60.167,2.0
60.198,2.0
