X,Class
62.32,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
62.17,2
62.17,2
62.17,2
62.02,2
62.17,2
62.17,2
62.17,2
62.02,2
62.02,2
62.17,2
62.32,2
62.32,2
62.02,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.32,2
62.02,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.32,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.32,2
62.32,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.32,2
62.32,2
62.02,2
62.32,2
62.32,2
62.17,2
62.02,2
62.17,2
62.32,2
62.32,2
62.32,2
62.17,2
62.17,2
62.17,2
62.32,2
62.32,2
62.02,2
62.32,2
62.17,2
62.32,2
62.17,2
62.17,2
62.32,2
62.17,2
62.32,2
62.32,2
62.32,2
62.17,2
62.02,2
62.17,2
62.17,2
62.02,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
62.17,2
62.17,2
62.02,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
62.17,2
62.32,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
62.17,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.32,2
62.32,2
62.17,2
62.32,2
62.32,2
62.32,2
62.17,2
62.32,2
62.17,2
62.02,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
62.32,2
62.32,2
62.32,2
62.32,2
62.32,2
62.32,2
62.32,2
62.17,2
62.17,2
62.17,2
62.32,2
62.17,2
62.32,2
62.32,2
62.32,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.32,2
62.32,2
62.17,2
62.32,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
62.02,2
62.17,2
62.17,2
62.02,2
62.02,2
62.17,2
62.02,2
62.02,2
62.17,2
62.17,2
62.17,2
62.02,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
61.88,2
61.88,2
62.02,2
62.02,2
61.88,2
62.02,2
61.88,2
61.88,2
62.02,2
61.88,2
61.88,2
61.88,2
61.88,2
62.02,2
61.88,2
61.88,2
62.02,2
62.02,2
61.88,2
61.88,2
62.02,2
61.88,2
62.02,2
61.88,2
61.73,2
62.02,2
61.88,2
61.88,2
62.02,2
61.88,2
62.17,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
61.88,2
61.88,2
61.88,2
61.88,2
61.88,2
62.02,2
61.88,2
61.88,2
62.02,2
62.02,2
61.88,2
62.02,2
61.88,2
62.02,2
62.17,2
62.02,2
62.02,2
62.02,2
62.02,2
61.88,2
62.02,2
61.88,2
62.02,2
61.88,2
62.02,2
61.88,2
61.88,2
61.88,2
61.88,2
61.88,2
62.02,2
61.88,2
61.88,2
62.02,2
61.88,2
61.88,2
62.02,2
61.88,2
62.02,2
61.88,2
61.88,2
61.88,2
61.88,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
62.02,2
61.88,2
61.88,2
62.02,2
61.88,2
62.02,2
62.02,2
61.88,2
61.88,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
61.88,2
62.02,2
61.88,2
61.88,2
61.88,2
62.02,2
62.02,2
61.88,2
61.88,2
61.88,2
61.88,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
61.88,2
62.02,2
61.88,2
61.88,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
61.88,2
61.88,2
62.02,2
62.02,2
61.88,2
61.88,2
61.88,2
61.88,2
61.88,2
61.88,2
62.02,2
62.02,2
62.02,2
62.17,2
61.88,2
61.88,2
61.88,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
61.88,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
62.17,2
62.02,2
62.02,2
62.02,2
62.17,2
62.17,2
62.02,2
61.88,2
61.88,2
62.02,2
61.88,2
61.88,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.17,2
62.17,2
61.88,2
62.17,2
62.02,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
62.02,2
61.88,2
62.17,2
62.02,2
62.02,2
62.02,2
62.17,2
62.02,2
62.17,2
62.02,2
62.17,2
62.17,2
62.02,2
62.02,2
62.02,2
62.17,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.17,2
62.02,2
62.17,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.17,2
62.02,2
62.02,2
62.02,2
62.02,2
62.17,2
62.02,2
62.17,2
62.17,2
62.02,2
62.02,2
62.02,2
62.17,2
62.17,2
62.02,2
62.17,2
62.02,2
62.02,2
61.88,2
62.17,2
62.02,2
62.17,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.17,2
62.02,2
62.02,2
62.17,2
62.02,2
62.17,2
62.17,2
62.17,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
62.17,2
62.17,2
62.02,2
62.17,2
62.02,2
62.02,2
62.17,2
62.02,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
62.02,2
62.02,2
62.02,2
62.32,2
62.17,2
62.02,2
62.17,2
62.17,2
62.17,2
62.32,2
62.17,2
62.02,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.17,2
62.17,2
62.02,2
60.26,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.26,2
60.12,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.12,2
60.12,2
60.12,2
60.12,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.12,2
60.12,2
60.26,2
60.26,2
60.26,2
60.12,2
60.12,2
60.26,2
60.12,2
60.26,2
60.12,2
60.26,2
60.12,2
60.12,2
60.26,2
60.12,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.12,2
60.12,2
60.26,2
60.26,2
60.26,2
60.12,2
60.12,2
60.26,2
60.12,2
60.12,2
60.12,2
60.12,2
60.26,2
60.26,2
60.12,2
60.12,2
60.26,2
60.26,2
60.12,2
60.12,2
60.12,2
60.12,2
60.12,2
60.26,2
60.12,2
60.12,2
60.26,2
60.26,2
60.12,2
60.12,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.12,2
60.12,2
60.12,2
60.12,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.12,2
60.26,2
60.26,2
60.12,2
60.12,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.12,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.12,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.26,2
60.41,2
