X,Class
42.67,1.0
42.67,1.0
42.67,1.0
42.52,1.0
42.67,1.0
42.67,1.0
42.67,1.0
42.52,1.0
42.67,1.0
42.67,1.0
42.67,1.0
42.67,1.0
42.67,1.0
42.67,1.0
42.67,1.0
42.52,1.0
42.23,1.0
42.23,1.0
42.08,1.0
42.08,1.0
42.08,1.0
42.23,1.0
42.52,1.0
42.52,1.0
42.52,1.0
42.52,1.0
42.52,1.0
42.52,1.0
42.38,1.0
42.38,1.0
42.38,1.0
42.38,1.0
42.38,1.0
42.38,1.0
42.38,1.0
42.23,1.0
41.94,1.0
41.94,1.0
41.94,1.0
41.94,1.0
41.94,1.0
41.79,1.0
41.79,1.0
41.79,1.0
41.64,1.0
41.79,1.0
41.79,1.0
41.64,1.0
41.715,1.0
41.79,1.0
41.715,1.0
41.79,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.715,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.715,1.0
41.57,1.0
41.64,1.0
41.5,1.0
41.57,1.0
41.57,1.0
41.5,1.0
41.57,1.0
41.715,1.0
41.57,1.0
41.64,1.0
41.57,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.57,1.0
41.57,1.0
41.715,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.57,1.0
41.64,1.0
41.5,1.0
41.64,1.0
41.425,1.0
41.715,1.0
41.57,1.0
41.5,1.0
41.5,1.0
41.5,1.0
41.5,1.0
41.64,1.0
41.57,1.0
41.64,1.0
41.06,1.0
41.06,1.0
41.06,1.0
41.13,1.0
41.06,1.0
41.06,1.0
41.06,1.0
57.77,1.0
57.92,1.0
57.92,1.0
57.99,1.0
57.92,1.0
58.06,1.0
58.06,1.0
57.92,1.0
58.06,1.0
57.99,1.0
58.06,1.0
57.99,1.0
57.55,1.0
56.525000000000006,1.0
52.345,1.0
47.510000000000005,1.0
45.31,1.0
43.84,1.0
42.82,1.0
42.084999999999994,1.0
41.64,1.0
42.375,1.0
49.34,1.0
53.08,1.0
54.91,1.0
55.425,1.0
55.795,1.0
56.01,1.0
56.16,1.0
56.45,1.0
56.595,1.0
56.67,1.0
56.74,1.0
56.815,1.0
57.04,1.0
57.04,1.0
57.04,1.0
41.79,1.0
50.370000000000005,1.0
56.82,1.0
57.33,1.0
55.205,1.0
52.42,1.0
50.66,1.0
49.120000000000005,1.0
47.14,1.0
45.97,1.0
45.16,1.0
44.43,1.0
44.06,1.0
43.55,1.0
43.33,1.0
43.035,1.0
42.745000000000005,1.0
42.525000000000006,1.0
42.08,1.0
42.08,1.0
41.94,1.0
41.57,1.0
41.425,1.0
41.35,1.0
41.13,1.0
41.13,1.0
42.595,1.0
44.79,1.0
49.78,1.0
52.785,1.0
54.47,1.0
56.519999999999996,1.0
57.55,1.0
58.36,1.0
58.65,1.0
58.065,1.0
57.035,1.0
56.23,1.0
54.33,1.0
51.17,1.0
48.754999999999995,1.0
47.14,1.0
45.455,1.0
44.28,1.0
43.77,1.0
43.185,1.0
42.815,1.0
42.38,1.0
42.01,1.0
41.715,1.0
41.495000000000005,1.0
41.275000000000006,1.0
41.06,1.0
46.625,1.0
51.685,1.0
53.445,1.0
56.525,1.0
57.769999999999996,1.0
58.285,1.0
58.36,1.0
58.575,1.0
58.72,1.0
58.87,1.0
58.94,1.0
58.87,1.0
58.94,1.0
58.94,1.0
58.94,1.0
58.94,1.0
