MedianX,MeanX,SDX,Class
42.67,42.67,0.095,1.0
42.67,42.7,0.112,1.0
42.67,42.7,0.06,1.0
42.52,42.58,0.073,1.0
42.67,42.7,0.06,1.0
42.67,42.7,0.112,1.0
42.67,42.64,0.06,1.0
42.52,42.55,0.06,1.0
42.67,42.67,0.095,1.0
42.67,42.67,0.095,1.0
42.67,42.64,0.112,1.0
42.67,42.67,0.095,1.0
42.67,42.61,0.073,1.0
42.67,42.67,0.095,1.0
42.67,42.64,0.112,1.0
42.52,42.464,0.149,1.0
42.23,42.26,0.06,1.0
42.23,42.23,0.095,1.0
42.08,42.08,0.0,1.0
42.08,42.08,0.0,1.0
42.08,42.082,0.092,1.0
42.23,42.318,0.117,1.0
42.52,42.434,0.116,1.0
42.52,42.464,0.069,1.0
42.52,42.492,0.056,1.0
42.52,42.522,0.092,1.0
42.52,42.464,0.069,1.0
42.52,42.464,0.069,1.0
42.38,42.408,0.056,1.0
42.38,42.32,0.073,1.0
42.38,42.408,0.056,1.0
42.38,42.408,0.056,1.0
42.38,42.408,0.056,1.0
42.38,42.408,0.056,1.0
42.38,42.466,0.116,1.0
42.23,42.142,0.117,1.0
41.94,42.026,0.116,1.0
41.94,41.94,0.0,1.0
41.94,41.908,0.109,1.0
41.94,41.91,0.06,1.0
41.94,41.936,0.13,1.0
41.79,41.79,0.0,1.0
41.79,41.825,0.192,1.0
41.79,41.79,0.0,1.0
41.64,41.678,0.065,1.0
41.79,41.755,0.159,1.0
41.79,41.718,0.126,1.0
41.64,41.678,0.065,1.0
41.715,41.718,0.164,1.0
41.79,41.752,0.065,1.0
41.715,41.752,0.124,1.0
41.79,41.752,0.065,1.0
41.64,41.642,0.103,1.0
41.64,41.642,0.103,1.0
41.64,41.64,0.0,1.0
41.64,41.64,0.0,1.0
41.64,41.605,0.061,1.0
41.64,41.642,0.103,1.0
41.715,41.715,0.075,1.0
41.64,41.64,0.0,1.0
41.64,41.605,0.061,1.0
41.64,41.64,0.0,1.0
41.64,41.678,0.065,1.0
41.64,41.678,0.065,1.0
41.64,41.605,0.061,1.0
41.64,41.64,0.0,1.0
41.64,41.677,0.065,1.0
41.64,41.677,0.065,1.0
41.715,41.715,0.075,1.0
41.57,41.57,0.07,1.0
41.64,41.605,0.061,1.0
41.5,41.535,0.061,1.0
41.57,41.57,0.07,1.0
41.57,41.57,0.07,1.0
41.5,41.535,0.061,1.0
41.57,41.57,0.07,1.0
41.715,41.68,0.121,1.0
41.57,41.57,0.07,1.0
41.64,41.64,0.0,1.0
41.57,41.608,0.12,1.0
41.64,41.605,0.061,1.0
41.64,41.715,0.13,1.0
41.64,41.678,0.065,1.0
41.64,41.64,0.0,1.0
41.64,41.64,0.0,1.0
41.64,41.64,0.0,1.0
41.64,41.678,0.065,1.0
41.57,41.645,0.18,1.0
41.57,41.608,0.12,1.0
41.715,41.715,0.075,1.0
41.64,41.678,0.065,1.0
41.64,41.64,0.0,1.0
41.64,41.677,0.065,1.0
41.57,41.608,0.12,1.0
41.64,41.605,0.061,1.0
41.5,41.462,0.065,1.0
41.64,41.642,0.103,1.0
41.425,41.425,0.075,1.0
41.715,41.68,0.121,1.0
41.57,41.57,0.07,1.0
41.5,41.5,0.0,1.0
41.5,41.535,0.061,1.0
41.5,41.498,0.103,1.0
41.5,41.5,0.0,1.0
41.64,41.605,0.159,1.0
41.57,41.57,0.07,1.0
41.64,41.605,0.061,1.0
41.06,41.06,0.0,1.0
41.06,41.06,0.0,1.0
41.06,41.06,0.0,1.0
41.13,41.13,0.07,1.0
41.06,41.095,0.061,1.0
41.06,41.06,0.0,1.0
41.06,41.06,0.0,1.0
57.77,53.593,7.236,1.0
57.92,57.918,0.103,1.0
57.92,57.955,0.159,1.0
57.99,58.028,0.12,1.0
57.92,57.92,0.0,1.0
58.06,58.06,0.0,1.0
58.06,57.988,0.126,1.0
57.92,57.918,0.103,1.0
58.06,58.025,0.061,1.0
57.99,58.028,0.12,1.0
58.06,58.098,0.065,1.0
57.99,57.99,0.163,1.0
57.55,57.475,0.18,1.0
56.525000000000006,56.342,0.55,1.0
52.345,52.198,1.357,1.0
47.510000000000005,47.618,0.94,1.0
45.31,45.235,0.526,1.0
43.84,43.878,0.42,1.0
42.82,42.892,0.221,1.0
42.084999999999994,42.122,0.19,1.0
41.64,41.605,0.159,1.0
42.375,43.035,2.059,1.0
49.34,49.305,1.272,1.0
53.08,53.118,0.58,1.0
54.91,54.838,0.403,1.0
55.425,55.425,0.145,1.0
55.795,55.792,0.164,1.0
56.01,55.975,0.061,1.0
56.16,56.158,0.103,1.0
56.45,56.45,0.106,1.0
56.595,56.595,0.145,1.0
56.67,56.708,0.12,1.0
56.74,56.743,0.103,1.0
56.815,56.815,0.075,1.0
57.04,57.038,0.103,1.0
57.04,57.002,0.065,1.0
57.04,57.002,0.065,1.0
41.79,41.828,0.65,1.0
50.370000000000005,49.598,3.103,1.0
56.82,56.6,1.797,1.0
57.33,57.257,0.563,1.0
55.205,55.242,0.422,1.0
52.42,52.492,0.595,1.0
50.66,50.66,0.364,1.0
49.120000000000005,49.158,0.685,1.0
47.14,47.285,0.513,1.0
45.97,45.895,0.313,1.0
45.16,45.16,0.106,1.0
44.43,44.503,0.126,1.0
44.06,44.098,0.12,1.0
43.55,43.622,0.126,1.0
43.33,43.33,0.163,1.0
43.035,43.0,0.121,1.0
42.745000000000005,42.707,0.124,1.0
42.525000000000006,42.488,0.19,1.0
42.08,42.117,0.065,1.0
42.08,42.045,0.061,1.0
41.94,41.902,0.065,1.0
41.57,41.57,0.07,1.0
41.425,41.422,0.164,1.0
41.35,41.35,0.106,1.0
41.13,41.168,0.12,1.0
41.13,41.13,0.07,1.0
42.595,42.488,0.974,1.0
44.79,45.012,0.728,1.0
49.78,49.56,1.168,1.0
52.785,52.678,0.522,1.0
54.47,54.435,0.642,1.0
56.519999999999996,56.595,0.4,1.0
57.55,57.515,0.35,1.0
58.36,58.358,0.103,1.0
58.65,58.65,0.106,1.0
58.065,58.137,0.561,1.0
57.035,56.998,0.19,1.0
56.23,56.122,0.43,1.0
54.33,54.292,0.544,1.0
51.17,51.317,1.092,1.0
48.754999999999995,48.828,0.538,1.0
47.14,47.065,0.498,1.0
45.455,45.49,0.28,1.0
44.28,44.318,0.282,1.0
43.77,43.66,0.238,1.0
43.185,43.182,0.164,1.0
42.815,42.778,0.19,1.0
42.38,42.305,0.13,1.0
42.01,42.01,0.163,1.0
41.715,41.718,0.164,1.0
41.495000000000005,41.458,0.19,1.0
41.275000000000006,41.24,0.121,1.0
41.06,41.095,0.061,1.0
46.625,45.93,3.052,1.0
51.685,51.65,0.77,1.0
53.445,53.555,0.534,1.0
56.525,56.415,0.777,1.0
57.769999999999996,57.735,0.192,1.0
58.285,58.282,0.164,1.0
58.36,58.285,0.13,1.0
58.575,58.612,0.124,1.0
58.72,58.72,0.22,1.0
58.87,58.87,0.07,1.0
58.94,58.905,0.061,1.0
58.87,58.87,0.07,1.0
58.94,58.94,0.0,1.0
58.94,58.94,0.0,1.0
58.94,58.94,0.0,1.0
58.94,58.94,0.0,1.0
