X,Class
42.67,1.0
42.7,1.0
42.7,1.0
42.58,1.0
42.7,1.0
42.7,1.0
42.64,1.0
42.55,1.0
42.67,1.0
42.67,1.0
42.64,1.0
42.67,1.0
42.61,1.0
42.67,1.0
42.64,1.0
42.464,1.0
42.26,1.0
42.23,1.0
42.08,1.0
42.08,1.0
42.082,1.0
42.318,1.0
42.434,1.0
42.464,1.0
42.492,1.0
42.522,1.0
42.464,1.0
42.464,1.0
42.408,1.0
42.32,1.0
42.408,1.0
42.408,1.0
42.408,1.0
42.408,1.0
42.466,1.0
42.142,1.0
42.026,1.0
41.94,1.0
41.908,1.0
41.91,1.0
41.936,1.0
41.79,1.0
41.825,1.0
41.79,1.0
41.678,1.0
41.755,1.0
41.718,1.0
41.678,1.0
41.718,1.0
41.752,1.0
41.752,1.0
41.752,1.0
41.642,1.0
41.642,1.0
41.64,1.0
41.64,1.0
41.605,1.0
41.642,1.0
41.715,1.0
41.64,1.0
41.605,1.0
41.64,1.0
41.678,1.0
41.678,1.0
41.605,1.0
41.64,1.0
41.677,1.0
41.677,1.0
41.715,1.0
41.57,1.0
41.605,1.0
41.535,1.0
41.57,1.0
41.57,1.0
41.535,1.0
41.57,1.0
41.68,1.0
41.57,1.0
41.64,1.0
41.608,1.0
41.605,1.0
41.715,1.0
41.678,1.0
41.64,1.0
41.64,1.0
41.64,1.0
41.678,1.0
41.645,1.0
41.608,1.0
41.715,1.0
41.678,1.0
41.64,1.0
41.677,1.0
41.608,1.0
41.605,1.0
41.462,1.0
41.642,1.0
41.425,1.0
41.68,1.0
41.57,1.0
41.5,1.0
41.535,1.0
41.498,1.0
41.5,1.0
41.605,1.0
41.57,1.0
41.605,1.0
41.06,1.0
41.06,1.0
41.06,1.0
41.13,1.0
41.095,1.0
41.06,1.0
41.06,1.0
53.593,1.0
57.918,1.0
57.955,1.0
58.028,1.0
57.92,1.0
58.06,1.0
57.988,1.0
57.918,1.0
58.025,1.0
58.028,1.0
58.098,1.0
57.99,1.0
57.475,1.0
56.342,1.0
52.198,1.0
47.618,1.0
45.235,1.0
43.878,1.0
42.892,1.0
42.122,1.0
41.605,1.0
43.035,1.0
49.305,1.0
53.118,1.0
54.838,1.0
55.425,1.0
55.792,1.0
55.975,1.0
56.158,1.0
56.45,1.0
56.595,1.0
56.708,1.0
56.743,1.0
56.815,1.0
57.038,1.0
57.002,1.0
57.002,1.0
41.828,1.0
49.598,1.0
56.6,1.0
57.257,1.0
55.242,1.0
52.492,1.0
50.66,1.0
49.158,1.0
47.285,1.0
45.895,1.0
45.16,1.0
44.503,1.0
44.098,1.0
43.622,1.0
43.33,1.0
43.0,1.0
42.707,1.0
42.488,1.0
42.117,1.0
42.045,1.0
41.902,1.0
41.57,1.0
41.422,1.0
41.35,1.0
41.168,1.0
41.13,1.0
42.488,1.0
45.012,1.0
49.56,1.0
52.678,1.0
54.435,1.0
56.595,1.0
57.515,1.0
58.358,1.0
58.65,1.0
58.137,1.0
56.998,1.0
56.122,1.0
54.292,1.0
51.317,1.0
48.828,1.0
47.065,1.0
45.49,1.0
44.318,1.0
43.66,1.0
43.182,1.0
42.778,1.0
42.305,1.0
42.01,1.0
41.718,1.0
41.458,1.0
41.24,1.0
41.095,1.0
45.93,1.0
51.65,1.0
53.555,1.0
56.415,1.0
57.735,1.0
58.282,1.0
58.285,1.0
58.612,1.0
58.72,1.0
58.87,1.0
58.905,1.0
58.87,1.0
58.94,1.0
58.94,1.0
58.94,1.0
58.94,1.0
