X,Class
42.67,1
42.67,1
42.52,1
42.67,1
42.82,1
42.52,1
42.67,1
42.82,1
42.82,1
42.67,1
42.67,1
42.82,1
42.67,1
42.67,1
42.67,1
42.52,1
42.67,1
42.52,1
42.52,1
42.67,1
42.67,1
42.67,1
42.67,1
42.82,1
42.67,1
42.67,1
42.52,1
42.67,1
42.82,1
42.82,1
42.67,1
42.67,1
42.67,1
42.52,1
42.67,1
42.52,1
42.52,1
42.67,1
42.52,1
42.52,1
42.67,1
42.82,1
42.67,1
42.67,1
42.52,1
42.82,1
42.67,1
42.52,1
42.67,1
42.67,1
42.52,1
42.67,1
42.52,1
42.82,1
42.67,1
42.67,1
42.67,1
42.52,1
42.67,1
42.82,1
42.52,1
42.52,1
42.67,1
42.67,1
42.67,1
42.67,1
42.82,1
42.67,1
42.67,1
42.52,1
42.67,1
42.82,1
42.67,1
42.52,1
42.52,1
42.67,1
42.52,1
42.52,1
42.23,1
42.38,1
42.23,1
42.38,1
42.23,1
42.23,1
42.23,1
42.23,1
42.23,1
42.38,1
42.23,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
42.08,1
41.94,1
42.23,1
42.23,1
42.23,1
42.23,1
42.52,1
42.38,1
42.38,1
42.52,1
42.52,1
42.52,1
42.23,1
42.38,1
42.38,1
42.52,1
42.52,1
42.52,1
42.52,1
42.38,1
42.52,1
42.52,1
42.52,1
42.52,1
42.52,1
42.52,1
42.38,1
42.67,1
42.52,1
42.52,1
42.38,1
42.52,1
42.38,1
42.52,1
42.52,1
42.38,1
42.52,1
42.38,1
42.38,1
42.38,1
42.52,1
42.38,1
42.38,1
42.23,1
42.38,1
42.38,1
42.38,1
42.23,1
42.38,1
42.52,1
42.38,1
42.38,1
42.38,1
42.52,1
42.38,1
42.38,1
42.38,1
42.38,1
42.38,1
42.38,1
42.38,1
42.38,1
42.52,1
42.38,1
42.38,1
42.38,1
