ECG,Class
691,0
700.5,0
691.5,0
691,0
661,0
710.5,0
681.5,0
711,0
691,0
681,0
641,0
671,0
690.5,0
681.5,0
690.5,0
710.5,0
661,0
671.5,0
671.5,0
721,0
700,0
682,0
680.5,0
701.5,0
710.5,0
690.5,0
701,0
711,0
740.5,0
702,0
741.5,0
720.5,0
741,0
721,0
742,0
730.5,0
700.5,0
601.5,0
681,0
671,0
711.5,0
701.5,0
711,0
681.5,0
681,0
710.5,0
681.5,0
661.5,0
702,0
711.5,0
740.5,0
711.5,0
721.5,0
671.5,0
681.5,0
721.5,0
690.5,0
730.5,0
681,0
710.5,0
771,1
781,1
731.5,1
691.5,1
841.5,1
820.5,1
842,1
891.5,1
801.5,1
811,1
821,1
801.5,1
801,1
771,1
721,1
821,1
811,1
711.5,1
781,1
781.5,1
731,1
721,1
761,1
821,1
751.5,1
731.5,1
881,1
821.5,1
780.5,1
771,1
801,1
842,1
821,1
810.5,1
880.5,1
882,1
831.5,1
881.5,1
811,1
881,1
891.5,1
841,1
831.5,1
831,1
861,1
891.5,1
811,1
851,1
781,1
791,1
731.5,1
851.5,1
871.5,1
870.5,1
801,1
880.5,1
871.5,1
900.5,1
771.5,1
842,1
781,1
801,2
1020,2
1060,2
861,2
921,2
841,2
1102,2
941,2
1001,2
902,2
1121,2
822,2
1121,2
962,2
1201,2
841,2
961,2
1021,2
1002,2
861,2
962,2
761,2
841,2
1001,2
1001,2
961,2
981,2
942,2
981,2
781,2
1081,2
882,2
1062,2
941,2
722,2
862,2
1001,2
722,2
861,2
881,2
821,2
881,2
882,2
1002,2
882,2
821,2
982,2
901,2
841,2
901,2
801,2
742,2
760,2
882,2
1041,2
921,2
862,2
981,2
901,2
