EMG,Class
36.8,0
36.95,0
36.22,0
36.22,0
36.8,0
36.95,0
36.95,0
36.95,0
36.95,0
36.95,0
36.51,0
36.07,0
35.92,0
35.78,0
35.63,0
35.63,0
35.34,0
37.98,0
37.98,0
37.98,0
38.12,0
35.92,0
38.12,0
38.12,0
38.12,0
38.12,0
38.27,0
38.27,0
38.27,0
38.42,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
38.27,0
40.32,0
38.27,0
38.27,0
39.15,0
40.32,0
40.32,0
40.32,0
40.32,0
40.32,0
40.62,0
40.32,0
38.12,0
40.32,0
40.32,0
40.32,0
40.62,0
40.62,0
40.62,0
36.07,0
36.07,0
36.07,0
40.62,0
40.32,0
40.32,0
40.47,0
40.47,0
40.62,0
40.32,0
40.32,0
39.295,0
40.47,0
40.47,0
40.32,0
40.32,0
42.67,1
42.67,1
42.38,1
42.38,1
42.38,1
42.38,1
42.38,1
42.23,1
41.94,1
41.94,1
41.94,1
41.94,1
41.94,1
41.79,1
41.79,1
41.79,1
41.64,1
41.79,1
41.79,1
41.64,1
41.715,1
41.79,1
41.715,1
41.79,1
41.64,1
41.64,1
41.64,1
41.64,1
41.64,1
41.64,1
41.715,1
54.91,1
55.425,1
55.795,1
56.01,1
56.16,1
56.45,1
56.595,1
56.67,1
56.74,1
56.815,1
57.04,1
57.04,1
57.04,1
41.79,1
50.37,1
56.82,1
57.33,1
55.205,1
52.42,1
50.66,1
49.12,1
47.14,1
45.97,1
45.16,1
44.43,1
44.06,1
43.55,1
43.33,1
43.035,1
42.745,1
42.525,1
58.36,1
58.65,1
58.06,1
58.06,1
57.92,1
58.06,1
57.99,1
58.06,1
57.99,1
58.94,1
58.94,1
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.245,2
62.17,2
62.17,2
62.245,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.17,2
62.32,2
62.17,2
62.17,2
62.095,2
62.02,2
62.02,2
61.95,2
61.88,2
61.88,2
62.02,2
61.88,2
62.02,2
61.88,2
61.88,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
61.88,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.02,2
62.095,2
62.02,2
62.02,2
62.02,2
62.02,2
62.17,2
62.17,2
61.14,2
60.26,2
60.26,2
60.26,2
60.26,2
60.19,2
60.19,2
60.26,2
60.26,2
60.26,2
60.12,2
60.12,2
60.19,2
60.19,2
60.19,2
60.26,2
