Rdelta,Rtheta,Ralpha,Rbeta,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
0.743037607,0.08020347,0.052392039,0.106610594,641,642.667,23.4,36.8,36.776,0.103,0
0.702372442,0.114125849,0.053172858,0.109710605,622,624.417,19.543,36.95,36.936,0.043,0
0.62033809,0.167035897,0.07225443,0.117871232,621.5,621.083,19.839,36.22,36.257,0.244,0
0.75719251,0.090378895,0.051246246,0.083650372,621,619.417,15.091,36.22,36.19,0.175,0
0.652563033,0.147962578,0.073018661,0.10379426,621.5,629.5,20.855,36.8,36.749,0.067,0
0.712715176,0.130172962,0.046944429,0.091218199,641,637.75,40.575,36.95,36.882,0.075,0
0.679304416,0.090518885,0.05880785,0.143028569,651,657.833,29.109,36.95,36.936,0.043,0
0.761713737,0.094579727,0.048046431,0.080638574,651,646.167,22.067,36.95,36.95,0,0
0.677793876,0.139872636,0.055755375,0.104882864,641,639.5,23.764,36.95,36.95,0,0
0.792530195,0.081793681,0.038627586,0.07322561,641,644.5,24.527,36.95,36.95,0,0
0.71230927,0.093692404,0.047697549,0.117467174,661.5,659.583,23.489,36.51,36.564,0.273,0
0.79053008,0.083422342,0.037834925,0.074004675,651,642.833,42,36.07,36.015,0.096,0
0.770614527,0.095489798,0.043657974,0.07499228,611,627.75,38.702,35.92,35.869,0.067,0
0.709692135,0.106332968,0.061542827,0.100637932,671,666.25,54.154,35.78,35.766,0.043,0
0.69706391,0.131345073,0.051102335,0.098788475,661,674.583,53.783,35.63,35.671,0.067,0
0.671772913,0.136751492,0.054692852,0.11036952,641,652.75,32.283,35.63,35.616,0.1,0
0.675488841,0.122788241,0.069567049,0.107603722,631.5,632.833,34.212,35.34,36.564,1.397,0
0.725427609,0.116261475,0.049083806,0.088883917,651.5,651.25,47.978,37.98,38.031,0.067,0
0.833903797,0.057235842,0.037018692,0.058698011,650.5,654.5,27.473,37.98,37.98,0,0
0.753387742,0.131251396,0.038035784,0.062341755,641.5,644.5,16.065,37.98,37.98,0,0
0.809552709,0.068941161,0.042656233,0.065052494,641,646.167,27.331,38.12,38.095,0.054,0
0.802886772,0.079986338,0.042041997,0.062423056,660,646.083,21.785,38.12,38.095,0.054,0
0.785569019,0.078708931,0.041324357,0.078797547,641.5,644.583,29.287,38.12,38.12,0,0
0.643554077,0.115395039,0.069501495,0.142465291,622,637.833,27.76,38.12,38.12,0,0
0.650033805,0.127482262,0.061822032,0.133721315,641,639.417,19.272,38.12,38.107,0.04,0
0.75273981,0.107573107,0.033667141,0.08501619,621.5,629.5,19.449,38.12,38.188,0.075,0
0.710906763,0.0932989,0.052481829,0.117809922,671,676.167,36.701,38.27,38.27,0,0
0.782930915,0.09383966,0.03201978,0.073812416,671,672.833,27.574,38.27,38.284,0.043,0
0.745181241,0.090030576,0.050207665,0.097209824,661,662.75,26.221,38.27,38.297,0.058,0
0.757743074,0.085550193,0.045451655,0.092549301,641.5,652.833,23.671,38.42,38.352,0.075,0
0.767972432,0.088281284,0.043515548,0.080937374,650.5,651.083,30.151,38.27,38.311,0.067,0
0.628181779,0.142403384,0.065213216,0.134974371,660.5,652.75,45.668,38.27,38.284,0.043,0
0.688928693,0.112576859,0.058154521,0.114448651,641.5,664.417,35.38,38.27,38.311,0.067,0
0.563893812,0.152373875,0.08152873,0.165951502,681,686.083,27.284,38.27,38.284,0.043,0
0.783484054,0.091056607,0.033966252,0.075102183,651.5,659.417,39.763,38.27,38.27,0,0
0.607471418,0.141612746,0.073982143,0.146989192,641,654.333,24.948,38.27,38.284,0.043,0
0.542684749,0.120870764,0.081309609,0.205406799,641,656.083,45.966,38.27,38.297,0.058,0
0.642041518,0.105750987,0.064667657,0.160163063,680.5,677.75,38.121,38.27,38.311,0.067,0
0.603267874,0.138882914,0.072575327,0.158197781,651,657.667,26.697,38.27,38.27,0,0
0.657067668,0.102767056,0.078315607,0.136251284,621,617.75,21.284,38.27,38.27,0,0
0.595179248,0.177606843,0.072998683,0.128648606,621,626.083,27.226,38.27,38.27,0,0
0.746464873,0.089365469,0.043089665,0.098149153,621.5,631.25,19.46,38.27,38.27,0,0
0.829854074,0.065743922,0.02828719,0.062415446,650.5,649.417,26.26,38.27,38.27,0,0
0.73030197,0.096221862,0.049255512,0.10033544,641,637.833,27.934,38.27,38.27,0,0
0.754950698,0.086454382,0.044821874,0.095416172,641,636.167,30.884,38.27,38.27,0,0
0.620437448,0.135861386,0.067747625,0.142152397,581.5,592.833,36.794,38.27,38.243,0.058,0
0.813235995,0.068084097,0.031620802,0.070100866,660.5,666.167,44.238,38.27,38.27,0,0
0.614678488,0.150272528,0.069095379,0.135154169,681,681.167,27.086,38.27,38.27,0,0
0.779609462,0.066939635,0.043761278,0.085824954,700.5,699.5,34.279,38.27,38.202,0.075,0
0.680486761,0.112773692,0.057062307,0.118438909,661,659.5,23.694,38.12,38.134,0.043,0
0.542016664,0.155951016,0.086399911,0.181243272,660.5,657.833,24.368,38.12,38.134,0.043,0
0.572540396,0.152138811,0.083544432,0.154532806,662,667.833,24.572,38.12,38.12,0,0
0.68859883,0.118262283,0.055906413,0.113872226,671.5,674.417,23.669,38.27,38.229,0.067,0
0.74024887,0.095615523,0.047275915,0.097187676,661.5,667.833,36.06,38.27,38.256,0.043,0
0.713851309,0.107641228,0.058456967,0.097159428,661,656.25,20.36,38.27,38.229,0.067,0
0.744444725,0.093663474,0.050945381,0.08794953,681.5,686.167,30.61,38.27,38.27,0,0
0.817276983,0.06168061,0.033690933,0.069254411,621,622.75,23.675,36.07,36.577,0.986,0
0.665731602,0.125712145,0.055727031,0.12892182,620.5,619.5,23.764,36.07,36.015,0.072,0
0.680914693,0.1256207,0.058874307,0.111927015,662,661.167,23.248,36.07,36.002,0.075,0
0.714586158,0.093492858,0.054491968,0.114918105,671,669.417,32.035,36.07,36.002,0.075,0
0.684630084,0.126694036,0.057919311,0.108980001,641,659.583,38.793,35.92,35.988,0.098,0
0.65947313,0.113489498,0.065760544,0.136213299,671.5,667.833,24.969,35.92,35.975,0.072,0
0.730905796,0.068018404,0.048741891,0.126584179,661.5,657.833,26.897,36.07,36.015,0.096,0
0.613828656,0.120227572,0.082552447,0.151329941,641,654.5,27.53,36.07,36.029,0.092,0
0.675586671,0.120793222,0.058763464,0.116974992,641,631.083,17.279,35.92,35.961,0.067,0
0.661193675,0.140729949,0.053536815,0.116987445,641,631.167,22.214,35.92,35.975,0.072,0
0.703888297,0.111945986,0.046314871,0.109026858,632,637.833,28.296,35.92,35.961,0.067,0
0.669109088,0.107814085,0.0636391,0.130143084,661.5,661.167,25.761,36.07,36.043,0.086,0
0.537278568,0.168082492,0.081983952,0.176835277,671.5,674.417,22.07,36.07,36.002,0.075,0
0.563820999,0.145513541,0.075898799,0.172886824,661,666.083,31.001,35.92,35.961,0.067,0
0.564740576,0.163888676,0.078752348,0.157536855,661,656.25,23.188,36.07,36.002,0.075,0
0.775317317,0.084637398,0.039200932,0.082185136,651,652.833,23.604,35.92,35.961,0.067,0
0.670591742,0.11308316,0.065282286,0.124600578,681,681.25,33.571,35.92,35.975,0.072,0
0.670771934,0.120002961,0.060364411,0.121098867,681,682.833,31.68,36.07,36.07,0.128,0
0.823240575,0.076391841,0.030863216,0.058355305,681,681.167,28.112,36.07,36.084,0.1,0
0.656207609,0.151298111,0.05871956,0.110214441,671.5,668,26.169,36.07,36.084,0.1,0
0.67329788,0.124595657,0.067120266,0.112778718,671.5,674.5,47.867,36.22,37.497,1.836,0
0.606359522,0.149324332,0.076249295,0.136423136,702,701.167,26.842,39.44,39.456,0.159,0
0.754942248,0.111448699,0.044665064,0.072408773,681,682.833,26.207,39,38.976,0.136,0
0.697814738,0.097091191,0.056812385,0.122192932,661,664.583,29.227,38.56,38.551,0.17,0
0.608105026,0.164342875,0.06444539,0.134874353,641.5,644.583,24.513,38.12,38.189,0.169,0
0.808034265,0.071174012,0.030907307,0.07277166,662,674.5,25.979,37.83,37.948,0.162,0
0.748497732,0.099731465,0.04100517,0.090854087,661.5,667.833,19.074,37.68,37.71,0.137,0
0.738924447,0.089765665,0.044399294,0.102375437,641.5,661.25,43.405,37.54,37.565,0.082,0
0.724206916,0.102009852,0.049711968,0.101047196,671,677.917,61.355,37.24,37.229,0.097,0
0.64951817,0.094713604,0.08149425,0.141956313,681.5,687.75,28.659,37.24,37.189,0.143,0
0.770520806,0.083403064,0.036211828,0.09169109,701,691.167,27.994,36.95,36.964,0.1,0
0.695514607,0.100772092,0.045362369,0.129478622,701,704.5,39.003,36.8,36.803,0.107,0
0.628743036,0.133249294,0.051983231,0.149111001,691,692.833,43.326,36.66,36.725,0.094,0
0.547263878,0.148954311,0.076925333,0.184333715,681,682.75,20.989,36.8,36.736,0.07,0
0.509655146,0.155513657,0.091005048,0.197401807,641,641.25,31.626,36.66,37.564,1.324,0
0.720148287,0.076219338,0.047969417,0.127169005,651,656.083,44.34,38.86,38.978,0.136,0
0.770652725,0.08509926,0.044142747,0.08250223,661,656.25,49.644,38.86,38.83,0.121,0
0.630718812,0.108382691,0.057942395,0.16592509,690.5,694.417,53.607,38.71,38.791,0.096,0
0.796533902,0.080197755,0.040780929,0.069130647,701.5,699.583,50.515,38.56,38.564,0.153,0
0.676356157,0.140881812,0.056282992,0.103991381,661,659.5,34.175,38.56,38.551,0.13,0
0.709427194,0.114838016,0.061529642,0.093654253,661.5,652.75,51.339,38.42,38.417,0.107,0
0.583197619,0.140157798,0.070085907,0.170567209,700.5,691.25,43.995,38.27,38.325,0.072,0
0.71906172,0.116206283,0.055310896,0.088165307,700.5,699.583,48.736,38.27,38.27,0.143,0
0.617496469,0.149410857,0.068403582,0.13865911,660.5,642.75,56.81,38.27,38.695,0.732,0
0.69815197,0.123291405,0.060855831,0.095407132,661,664.417,35.476,39.74,39.764,0.103,0
0.794363538,0.084532569,0.036089565,0.07137523,661,657.833,19.924,39.59,39.616,0.153,0
0.732088566,0.109924484,0.047052358,0.093596979,661.5,659.583,41.252,39.59,39.485,0.14,0
0.721340952,0.0854786,0.04367613,0.121634879,651,649.417,24.005,39.3,39.284,0.145,0
0.669586785,0.116821128,0.053226034,0.130274628,621,634.5,26.421,39.15,39.15,0.128,0
0.783493019,0.073514187,0.036086401,0.087939732,621,627.75,22.174,39.15,39.071,0.144,0
0.758731962,0.088399287,0.047386556,0.083042071,631.5,639.5,28.774,38.86,38.845,0.097,0
0.517907526,0.133053908,0.099508781,0.204885756,641,639.5,20.528,38.71,38.803,0.128,0
0.613231506,0.120405232,0.070371318,0.163260556,650.5,654.5,27.412,38.86,38.777,0.132,0
0.575184753,0.164712368,0.074924627,0.150861006,660.5,662.917,36.057,38.71,38.697,0.148,0
0.57672729,0.152574467,0.077753263,0.154063003,641.5,649.417,34.779,38.42,38.511,0.111,0
0.663015223,0.111505293,0.056595782,0.137843205,641.5,657.833,54.53,38.56,38.549,0.159,0
0.699886548,0.104773188,0.056040541,0.114607173,661.5,667.833,40.214,38.42,38.403,0.131,0
0.586323652,0.151973895,0.08018389,0.150620666,681.5,694.417,42.037,38.49,38.928,0.787,0
0.78349261,0.083840125,0.041610186,0.072859177,662,662.917,26.459,39.74,39.709,0.088,0
0.575091405,0.16416332,0.0689906,0.159782205,692,686.167,46.519,39.59,39.517,0.209,0
0.822445648,0.061580767,0.032795086,0.06766548,660.5,659.5,32.533,39.3,39.312,0.189,0
0.747222243,0.093284724,0.04320109,0.094456017,631.5,631.167,23.611,39.15,39.121,0.214,0
0.747912305,0.092090169,0.046772296,0.093791133,621.5,622.833,25.238,38.86,38.931,0.096,0
0.609695784,0.171448134,0.073892485,0.120670642,641.5,656.167,50.468,38.86,38.828,0.109,0
0.578542047,0.138754928,0.08841396,0.1629957,641,657.833,55.828,38.785,38.712,0.174,0
0.553194424,0.154492199,0.084959915,0.173081959,681,679.583,39.645,38.56,38.621,0.118,0
0.567446769,0.149124484,0.075078912,0.178388273,691,701.083,35.694,38.49,38.505,0.149,0
0.490948199,0.195151081,0.092364985,0.18304824,662,674.5,35.38,38.42,38.446,0.143,0
0.642509409,0.170800853,0.058177076,0.106715615,681,686.167,21.61,38.195,38.255,0.211,0
0.628359861,0.103603462,0.056834966,0.168832902,681,666.167,50.532,38.27,38.241,0.145,0
0.674203301,0.10192689,0.049141324,0.14353996,721,712.75,28.911,38.27,38.226,0.115,0
0.493120858,0.14585397,0.084294978,0.227084859,661,657.667,61.693,37.98,38.066,0.116,0
0.602762618,0.131149889,0.073838644,0.157614837,701,704.5,55.36,37.98,37.964,0.079,0
0.606556375,0.122756792,0.064652147,0.17011346,711,707.75,38.704,37.98,37.993,0.121,0
0.698543749,0.100242694,0.053083422,0.117908274,711.5,709.417,31.025,37.98,37.977,0.161,0
0.582449583,0.138047188,0.076989201,0.16453462,671.5,672.75,31.183,37.83,37.786,0.16,0
0.60012264,0.132711177,0.072581392,0.16527066,651,649.333,33.124,39.295,39.31,1.542,0
0.675630892,0.11524838,0.049961688,0.132391898,631,644.167,52.029,40.91,40.85,0.073,0
0.649980494,0.104483786,0.065916324,0.14957151,691,697.833,27.991,40.91,40.865,0.069,0
0.744821451,0.08993299,0.051467639,0.090296899,691.5,694.5,39.643,40.91,40.91,0,0
0.521717942,0.149870671,0.084859774,0.193606255,681,682.75,27.52,40.91,40.865,0.069,0
0.70880849,0.082737392,0.054640843,0.123786185,661.5,666.167,30.446,40.91,40.85,0.073,0
0.638046998,0.112913153,0.057786969,0.154993131,661,671.167,25.308,40.76,40.806,0.094,0
0.735089292,0.096036993,0.04999171,0.099936485,661,667.833,28.754,40.76,40.82,0.073,0
0.770278966,0.087450935,0.044595478,0.081567646,661.5,659.417,27.828,40.76,40.776,0.079,0
0.783551996,0.065520346,0.035668846,0.092872274,621,632.833,30.058,40.91,40.85,0.073,0
0.635893584,0.117623057,0.054266162,0.159174937,641,644.5,32.783,40.76,40.763,0.112,0
0.52771529,0.142427029,0.086439257,0.193302913,681,661.25,37.375,40.76,40.734,0.108,0
0.672477636,0.083707054,0.057778977,0.15298831,652,666.167,48.995,40.76,40.792,0.109,0
0.641604129,0.127040616,0.063886688,0.134214405,631.5,621.167,23.104,40.91,40.85,0.073,0
0.703841663,0.105983813,0.056602115,0.109159368,711,702.833,51.125,40.76,40.761,0.065,0
0.550483651,0.146728847,0.083278392,0.180750602,681.5,694.5,46.491,40.76,40.777,0.102,0
0.576004883,0.145509107,0.078443454,0.163518374,681,689.417,36.091,40.76,40.747,0.077,0
0.755473513,0.070497194,0.047981445,0.104290992,681,684.5,30.187,40.62,40.706,0.116,0
0.500181216,0.165221262,0.092577783,0.198733223,681.5,679.583,36.174,40.69,40.69,0.07,0
0.705023998,0.105100068,0.049618041,0.113182491,691,684.5,21.403,40.76,40.748,0.101,0
0.627783926,0.100573579,0.060077941,0.170675288,681.5,688.083,23.461,40.62,40.619,0.065,0
0.665502104,0.103502734,0.067770089,0.136556475,691,691.167,46.553,40.62,40.605,0.045,0
0.711763381,0.121331963,0.048740306,0.092677611,660.5,662.917,55.889,40.62,40.662,0.064,0
0.638041344,0.132744676,0.065498925,0.133723516,731,724.583,28.064,40.62,40.648,0.109,0
0.714549656,0.101943782,0.049530675,0.107697155,721,711.083,36.312,40.62,40.59,0.06,0
0.710441512,0.116189198,0.044280671,0.107573803,701.5,714.583,34.048,40.62,40.634,0.042,0
0.556121332,0.170806553,0.073820597,0.163932448,690.5,689.583,49.5,40.62,40.619,0.065,0
0.5848445,0.161142098,0.07324558,0.147857299,681,679.417,36.024,40.47,40.515,0.096,0
0.549358848,0.114533707,0.079596442,0.215310181,701,696.083,37.81,40.47,40.544,0.098,0
0.767709462,0.073055361,0.038019762,0.097973681,681,664.25,47.746,40.62,40.529,0.151,0
0.777630943,0.072804032,0.0473097,0.084238331,681,689.333,31.213,40.62,40.589,0.088,0
0.810658022,0.064154077,0.034794968,0.075388488,681,679.417,27.831,40.545,40.559,0.097,0
0.735113684,0.093604232,0.050429672,0.100027984,621.5,626.083,27.345,40.47,40.53,0.073,0
0.802848097,0.063901624,0.03644662,0.079819238,641,644.417,59.542,40.47,40.515,0.069,0
0.639900345,0.123438189,0.053445728,0.148533156,681,674.417,32.92,40.47,40.47,0.095,0
0.450881721,0.158016279,0.102938692,0.237821161,691.5,696.167,50.501,40.395,40.395,0.075,0
0.765412573,0.081418207,0.045025829,0.084449232,691.5,684.5,44.401,40.47,40.41,0.073,0
0.562591282,0.133177347,0.073859629,0.186736947,711.5,706.167,51.902,40.32,40.336,0.079,0
0.762800988,0.089519859,0.047673506,0.080424592,701.5,696.167,50.401,40.32,40.336,0.079,0
0.666626071,0.099194682,0.057215201,0.146002374,691.5,701.167,46.047,40.32,40.38,0.12,0
0.79698435,0.063062868,0.036114623,0.083352906,721,713,46.687,40.395,40.396,0.119,0
0.816982519,0.066803463,0.027199457,0.06821008,711,717.833,43.091,40.32,40.366,0.094,0
0.802254475,0.066537373,0.029558574,0.07996459,701,696.083,33.802,40.32,40.381,0.118,0
0.772597602,0.080645372,0.035142839,0.090890573,660.5,667.917,29.711,40.32,40.308,0.101,0
0.608944596,0.125523482,0.071637432,0.159712525,681,681.167,31.363,40.32,40.294,0.143,0
0.737829401,0.087722902,0.041313262,0.109195411,681,686.083,29.573,40.32,40.264,0.116,0
0.62828345,0.130422492,0.06697312,0.14299294,691,691.25,35.429,40.18,40.236,0.116,0
0.784795245,0.070127452,0.040828413,0.08179766,700.5,691.083,27.846,40.32,40.324,0.13,0
0.595023997,0.164588189,0.058844722,0.147668026,691.5,682.833,23.811,40.32,40.293,0.086,0
0.616522076,0.196281954,0.067252322,0.096519684,691,696.083,21.899,40.32,40.322,0.131,0
0.50944288,0.152690907,0.078587296,0.215693405,661,666.25,30.652,40.32,40.294,0.108,0
0.601693156,0.129576255,0.079668428,0.149892216,710.5,701.167,31.419,40.32,40.351,0.088,0
0.636639484,0.122936377,0.062063477,0.143719968,681.5,697.75,47.396,40.32,40.351,0.088,0
0.722102785,0.111399947,0.037990936,0.107462163,711,714.5,27.293,40.32,40.352,0.128,0
0.817882477,0.063079079,0.033858085,0.068455049,691,694.5,34.856,40.32,40.308,0.166,0
0.751802288,0.087367477,0.04009138,0.09967071,681,677.833,28.109,40.32,40.307,0.077,0
0.764927852,0.076241496,0.04090163,0.097263518,641,647.833,17.425,40.32,40.308,0.101,0
0.796673943,0.075829166,0.033245902,0.074196679,671,687.917,62.604,40.32,40.279,0.092,0
0.744765959,0.08142025,0.047015834,0.101238275,690.5,701.083,36.383,40.25,40.25,0.07,0
0.531154833,0.185950391,0.080544777,0.168320787,681.5,674.333,61.531,40.18,40.193,0.121,0
0.796776581,0.076534722,0.037566365,0.072255851,690.5,691,44.127,40.18,40.222,0.064,0
0.630622434,0.105119831,0.061844209,0.164314109,710.5,702.833,33.221,40.25,40.25,0.07,0
0.738848113,0.077757984,0.040358641,0.113717688,661,671.083,32.224,40.32,40.293,0.086,0
0.768348518,0.071650672,0.039398044,0.097322238,671.5,677.833,45.391,40.32,40.351,0.088,0
0.641558456,0.124398573,0.049478153,0.150288064,671.5,686.167,38.604,40.32,40.306,0.102,0
0.555261298,0.166883579,0.075391585,0.164765048,721,706.25,44.153,40.32,40.294,0.108,0
0.73973155,0.098517651,0.041906304,0.098071082,700,704.333,33.505,40.32,40.292,0.109,0
0.745021628,0.089439684,0.045216998,0.100001513,682,706.25,32.752,40.32,40.38,0.073,0
0.794482031,0.088458483,0.036218374,0.065618368,680.5,677.833,57.157,40.32,40.321,0.065,0
0.780172292,0.092133577,0.035420005,0.076177532,701.5,691.083,52.462,40.32,40.307,0.077,0
0.801214199,0.082877226,0.03158615,0.069212612,710.5,711.167,33.573,40.32,40.323,0.112,0
0.76578005,0.082870362,0.047814202,0.087345282,690.5,701.25,42.431,40.32,40.279,0.092,0
0.790811366,0.082985594,0.031383519,0.078779147,701,706.25,38.467,40.32,40.336,0.079,0
0.642506947,0.137775034,0.05836358,0.132922845,711,707.667,48.743,40.32,40.336,0.079,0
0.791247107,0.086148043,0.033243308,0.07340227,740.5,729.5,38.578,40.32,40.351,0.088,0
0.716502792,0.112479289,0.053425936,0.097579207,702,711.167,34.119,40.395,40.425,0.117,0
0.708065763,0.133198346,0.04421807,0.093725184,741.5,734.5,39.557,40.32,40.321,0.065,0
0.775761523,0.09169723,0.042103922,0.073864267,720.5,716.167,36.108,40.32,40.352,0.128,0
0.792979212,0.083218368,0.029970619,0.076074016,741,737.917,29.398,40.32,40.322,0.092,0
0.713104365,0.107993721,0.052278008,0.105387035,721,719.333,38.786,40.32,40.395,0.101,0
0.570879293,0.153049011,0.082424727,0.164677734,742,738.083,34.381,40.32,40.336,0.079,0
0.819948155,0.07793881,0.030575345,0.059077568,730.5,731.167,36.106,40.32,40.307,0.077,0
0.817282373,0.065099307,0.038777179,0.06558481,700.5,691.167,45.208,40.32,40.366,0.094,0
0.792744875,0.089851858,0.030069925,0.07081874,601.5,617.75,34.395,40.32,40.321,0.065,0
0.808204242,0.078607584,0.032624501,0.066434927,681,671.083,61.415,40.32,40.337,0.102,0
0.703964409,0.118174055,0.050137139,0.106393872,671,671.083,41.616,40.32,40.38,0.073,0
0.662296227,0.110879492,0.064954869,0.131008984,711.5,722.75,46.447,40.32,40.279,0.092,0
0.800513784,0.080273153,0.038290661,0.065905129,701.5,706,30.962,40.32,40.308,0.101,0
0.761535482,0.109546849,0.043545371,0.070862857,711,706.25,29.544,40.25,40.265,0.095,0
0.729211356,0.135472394,0.046665854,0.07155067,681.5,704.417,38.237,40.32,40.322,0.092,0
0.850180693,0.065641971,0.025659068,0.046881322,681,686,37.399,40.32,40.335,0.045,0
0.626368442,0.158185173,0.068583374,0.118155092,710.5,712.917,32.382,40.32,40.351,0.088,0
0.72715031,0.089488312,0.048673243,0.112054672,771,767.1,51.335,42.67,42.67,0.095,1
0.560267926,0.163527516,0.072188375,0.170682912,781,775.3,45.78,42.67,42.7,0.112,1
0.77282692,0.077290607,0.038580841,0.091851733,801.5,797.2,46.456,42.67,42.7,0.06,1
0.740181319,0.082325072,0.047685642,0.106004793,761,787.3,73.736,42.52,42.58,0.073,1
0.7569009,0.08422358,0.037373667,0.101843425,750,761.1,64.068,42.67,42.7,0.06,1
0.638486222,0.122365587,0.057711437,0.151886262,821,831.2,70.144,42.67,42.7,0.112,1
0.768019942,0.074296242,0.048202119,0.090513187,801.5,803.2,56.101,42.67,42.64,0.06,1
0.529837774,0.164783554,0.077536447,0.192014911,821,811.2,51.538,42.52,42.55,0.06,1
0.70316745,0.096456183,0.052339936,0.123894931,851,847.3,72.64,42.67,42.67,0.095,1
0.712270546,0.094588774,0.049561868,0.115483467,821.5,815.2,61.209,42.67,42.67,0.095,1
0.735295015,0.088537615,0.039583719,0.11472245,831.5,835.3,63.277,42.67,42.64,0.112,1
0.701484442,0.094623636,0.049852955,0.128103143,781,791.1,52.557,42.67,42.67,0.095,1
0.732277071,0.094233837,0.043817737,0.108380934,821.5,819.2,51.119,42.67,42.61,0.073,1
0.67597281,0.120317194,0.04388755,0.134171417,801,803.2,45.073,42.67,42.67,0.095,1
0.689843662,0.104367271,0.056269635,0.120475511,770.5,771.2,39.298,42.67,42.64,0.112,1
0.736965366,0.084522731,0.046927549,0.107744847,801.5,817.2,72.069,42.52,42.464,0.149,1
0.674780831,0.100651784,0.054379905,0.141338736,761,761.1,42.051,42.23,42.26,0.06,1
0.681954241,0.110534425,0.058569311,0.125160487,791.5,783.3,50.15,42.23,42.23,0.095,1
0.797442752,0.071577781,0.040397925,0.072262857,771.5,783.2,52.493,42.08,42.08,0,1
0.538496347,0.170654189,0.11366353,0.148486291,781,789.2,65.522,42.08,42.08,0,1
0.669552061,0.125437154,0.065220515,0.115364881,751.5,747.2,34.727,42.08,42.082,0.092,1
0.626538963,0.141598197,0.072661931,0.132752453,750.5,751.2,49.359,42.23,42.318,0.117,1
0.702088172,0.112437183,0.062176797,0.101341894,771,783.1,52.685,42.52,42.434,0.116,1
0.691629778,0.102246272,0.055905889,0.122604633,761.5,763.2,46.082,42.52,42.464,0.069,1
0.673486017,0.126885369,0.066986719,0.11121387,801,795.2,71.239,42.52,42.492,0.056,1
0.732588359,0.105549311,0.048148492,0.09428922,771,779.2,36.512,42.52,42.522,0.092,1
0.736057895,0.097586969,0.053717832,0.092983414,861.5,855.2,31.221,42.52,42.464,0.069,1
0.709002317,0.10015805,0.056608406,0.113256458,741.5,765.3,59.38,42.52,42.464,0.069,1
0.64098748,0.124346785,0.05780209,0.146078745,830.5,829.1,56.559,42.38,42.408,0.056,1
0.76649538,0.084991398,0.048040395,0.083044221,831.5,837.3,58.404,42.38,42.32,0.073,1
0.746942317,0.083092826,0.053116173,0.096330846,841.5,829.1,46.597,42.38,42.408,0.056,1
0.779946973,0.079851268,0.042489664,0.079618359,781,785.3,38.91,42.38,42.408,0.056,1
0.772349933,0.080031627,0.040257809,0.089580682,800.5,791.1,36.145,42.38,42.408,0.056,1
0.724406557,0.093987206,0.055593625,0.103302164,771.5,777.3,38.663,42.38,42.408,0.056,1
0.670961503,0.126058085,0.059690696,0.116975002,821,821.1,55.714,42.38,42.466,0.116,1
0.726603105,0.099628734,0.050649109,0.102738169,791,789.2,54.418,42.23,42.142,0.117,1
0.670940633,0.122103811,0.061412104,0.11903206,791.5,791.3,72.458,41.94,42.026,0.116,1
0.650114076,0.123056664,0.079768319,0.121908895,771,783.3,43.211,41.94,41.94,0,1
0.610141821,0.145945413,0.078332303,0.137136836,740,747.1,63.145,41.94,41.908,0.109,1
0.704010824,0.126155956,0.050516172,0.097548184,771.5,795.3,68.761,41.94,41.91,0.06,1
0.750489697,0.084251494,0.053528449,0.091429923,721.5,739.2,43.416,41.94,41.936,0.13,1
0.630523357,0.144726175,0.080587941,0.118037379,760.5,759.2,31.578,41.79,41.79,0,1
0.647222448,0.122164695,0.073565518,0.131476491,751.5,761.1,65.24,41.79,41.825,0.192,1
0.715444906,0.105326427,0.053526731,0.104934619,700.5,707.2,32.279,41.79,41.79,0,1
0.707960632,0.094872878,0.06373168,0.109414923,711,723.3,54.03,41.64,41.678,0.065,1
0.635403681,0.139118234,0.075557897,0.124693758,771.5,789.2,52.165,41.79,41.755,0.159,1
0.74580726,0.096341224,0.047669692,0.093434717,760.5,781.2,53.034,41.79,41.718,0.126,1
0.766742697,0.084986029,0.044970219,0.084565278,791.5,783.1,43.404,41.64,41.678,0.065,1
0.612944962,0.121893115,0.067696481,0.166328073,761,785.2,60.191,41.715,41.718,0.164,1
0.801789425,0.071229862,0.029660522,0.079978416,781.5,771.2,45.745,41.79,41.752,0.065,1
0.810213252,0.070959065,0.034264953,0.069812619,711.5,723.3,47.193,41.715,41.752,0.124,1
0.69408421,0.109770937,0.070720546,0.104833899,811,817.1,78.006,41.79,41.752,0.065,1
0.720598771,0.098354141,0.046975982,0.109391385,831.5,819.3,54.384,41.64,41.642,0.103,1
0.653600463,0.143873005,0.058735769,0.116840088,791,791.2,65.667,41.64,41.642,0.103,1
0.747366456,0.098081617,0.043366281,0.092974217,761,763.1,38.42,41.64,41.64,0,1
0.798280821,0.071419198,0.035870043,0.077695464,761.5,773.3,46.573,41.64,41.64,0,1
0.64333853,0.121198284,0.066112698,0.136515527,791,797.3,46.117,41.64,41.605,0.061,1
0.765971311,0.086548733,0.037962885,0.090895825,811.5,795.1,46.535,41.64,41.642,0.103,1
