Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,ECG,EMG,Class
20631.177,2226.929,1454.717,2960.149,493.021,642.667,36.776,0
16693.427,2712.452,1263.77,2607.514,490.038,624.417,36.936,0
10367.811,2791.698,1207.6,1970.001,376.052,621.083,36.257,0
18460.76,2203.486,1249.411,2039.441,427.439,619.417,36.19,0
8041.901,1823.426,899.85,1279.115,279.27,629.5,36.749,0
14087.732,2573.036,927.917,1803.045,374.556,637.75,36.882,0
18746.819,2498.057,1622.925,3947.171,782.109,657.833,36.936,0
15343.164,1905.115,967.797,1624.299,302.578,646.167,36.95,0
10074.535,2079.027,828.732,1558.949,322.472,639.5,36.95,0
16870.725,1741.156,822.272,1558.766,294.251,644.5,36.95,0
15766.081,2073.765,1055.726,2599.99,638.196,659.583,36.564,0
19419.373,2049.27,929.415,1817.925,349.019,642.833,36.015,0
20994.307,2601.485,1189.4,2043.059,415.34,627.75,35.869,0
11349.271,1700.458,984.182,1609.384,348.528,666.25,35.766,0
11750.651,2214.13,861.45,1665.312,365.808,674.583,35.671,0
10876.688,2214.146,885.533,1786.995,427.657,652.75,35.616,0
10265.487,1866.028,1057.219,1635.267,373.122,632.833,36.564,0
12949.667,2075.393,876.199,1586.674,363.148,651.25,38.031,0
29652.635,2035.239,1316.341,2087.232,467.373,654.5,37.98,0
14554.355,2535.586,734.796,1204.352,289.456,644.5,37.98,0
28492.699,2426.426,1501.312,2289.562,485.608,646.167,38.095,0
21004.365,2092.527,1099.863,1633.053,331.247,646.083,38.095,0
23598.271,2364.394,1241.372,2367.056,468.624,644.583,38.12,0
11116.051,1993.208,1200.493,2460.79,502.367,637.833,38.12,0
12353.559,2422.735,1174.896,2541.305,511.992,639.417,38.107,0
19852.689,2837.123,887.934,2242.209,553.951,629.5,38.188,0
18392.053,2413.76,1357.771,3047.891,659.784,676.167,38.27,0
18925.688,2268.374,774.01,1784.258,420.541,672.833,38.284,0
18966.227,2291.443,1277.877,2474.168,442.116,662.75,38.297,0
18610.376,2101.136,1116.305,2273.036,459.419,652.833,38.352,0
23104.499,2655.948,1309.168,2435.006,580.442,651.083,38.311,0
7853.484,1780.317,815.291,1687.44,365.397,652.75,38.284,0
11964.843,1955.158,1009.988,1987.666,449.662,664.417,38.311,0
8068.787,2180.326,1166.599,2374.609,518.733,686.083,38.284,0
21936.676,2549.483,951.017,2102.777,458.927,659.417,38.27,0
11081.705,2583.349,1349.608,2681.428,546.258,654.333,38.284,0
9699.754,2160.401,1453.299,3671.368,888.822,656.083,38.297,0
12281.487,2022.89,1237.015,3063.728,523.685,677.75,38.311,0
10759.075,2476.929,1294.356,2821.403,482.893,657.667,38.27,0
12178.491,1904.747,1451.549,2525.364,474.456,617.75,38.27,0
7652.219,2283.491,938.544,1654.035,328.71,626.083,38.27,0
23573.298,2822.154,1360.768,3099.542,724.154,631.25,38.27,0
31619.202,2504.983,1077.802,2378.161,521.975,649.417,38.27,0
19776.099,2605.625,1333.807,2717.018,646.796,637.833,38.27,0
19334.84,2214.16,1147.921,2443.678,470.133,636.167,38.27,0
9775.891,2140.693,1067.462,2239.817,532.586,592.833,38.243,0
26711.63,2236.297,1038.62,2302.54,557.012,666.167,38.27,0
9832.142,2403.697,1105.221,2161.87,492.655,681.167,38.27,0
21741.882,1866.824,1220.422,2393.501,665.542,699.5,38.202,0
12445.404,2062.515,1043.611,2166.126,571.317,659.5,38.134,0
6886.448,1981.394,1097.731,2302.738,436.922,657.833,38.134,0
6581.357,1748.837,960.344,1776.356,428.115,667.833,38.12,0
11740.692,2016.386,953.211,1941.535,398.295,674.417,38.229,0
16934.609,2187.388,1081.527,2223.354,450.035,667.833,38.256,0
11730.69,1768.864,960.621,1596.617,376.168,656.25,38.229,0
18321.547,2305.154,1253.818,2164.528,565.977,686.167,38.27,0
28860.431,2178.122,1189.725,2445.575,639.06,622.75,36.577,0
11776.348,2223.764,985.774,2280.541,422.906,619.5,36.015,0
11136.449,2054.543,962.897,1830.581,370.661,661.167,36.002,0
13449.707,1759.692,1025.63,2162.951,423.693,669.417,36.002,0
11330.81,2096.82,958.58,1803.648,360.408,659.583,35.988,0
10754.608,1850.773,1072.415,2221.35,408.733,667.833,35.975,0
22018.35,2049.037,1468.337,3813.316,775.704,657.833,36.015,0
10374.118,2031.927,1395.192,2557.578,541.859,654.5,36.029,0
12091.001,2161.841,1051.692,2093.506,498.999,631.083,35.961,0
8555.261,1820.921,692.719,1513.714,356.5,631.167,35.975,0
17147.931,2727.197,1128.31,2656.082,702.202,637.833,35.961,0
10681.893,1721.182,1015.957,2077.65,467.67,661.167,36.043,0
7783.027,2434.846,1187.621,2561.639,518.885,674.417,36.002,0
7042.674,1817.606,948.05,2159.525,523.12,666.083,35.961,0
6374.494,1849.889,888.915,1778.193,395.982,656.25,36.002,0
21549.116,2352.406,1089.548,2284.248,518.613,652.833,35.961,0
10399.355,1753.663,1012.38,1932.272,410.059,681.25,35.975,0
10890.58,1948.355,980.07,1966.148,450.738,682.833,36.07,0
29524.183,2739.669,1106.859,2092.818,399.843,681.167,36.084,0
9956.997,2295.729,890.984,1672.344,357.493,668,36.084,0
12556.384,2323.594,1251.731,2103.219,414.149,674.5,37.497,0
7635.803,1880.421,960.197,1717.958,398.485,701.167,39.456,0
15791.395,2331.212,934.275,1514.6,345.873,682.833,38.976,0
18991.31,2642.376,1546.172,3325.53,710.016,664.583,38.551,0
8881.771,2400.335,941.267,1969.928,412.352,644.583,38.189,0
24067.846,2119.966,920.595,2167.553,509.715,674.5,37.948,0
19073.443,2541.387,1044.906,2315.171,507.392,667.833,37.71,0
14256.226,1731.868,856.605,1975.151,473.362,661.25,37.565,0
15996.924,2253.284,1098.082,2232.02,508.576,677.917,37.229,0
10517.549,1533.683,1319.624,2298.677,523.315,687.75,37.189,0
20477.307,2216.514,962.363,2436.776,482.97,691.167,36.964,0
11587.763,1678.934,755.769,2157.205,481.033,704.5,36.803,0
11499.646,2437.116,950.768,2727.225,675.143,692.833,36.725,0
8173.38,2224.631,1148.879,2753.022,635.077,682.75,36.736,0
6208.857,1894.54,1108.666,2404.841,565.563,641.25,37.564,0
16980.303,1797.168,1131.066,2998.505,671.856,656.083,38.978,0
22537.396,2488.69,1290.935,2412.741,514.793,656.25,38.83,0
11061.31,1900.775,1016.172,2909.932,649.436,694.417,38.791,0
19163.841,1929.481,981.15,1663.217,321.351,699.583,38.564,0
11138.662,2320.131,926.904,1712.596,370.341,659.5,38.551,0
10608.875,1717.304,920.123,1400.519,307.321,652.75,38.417,0
10735.973,2580.138,1290.198,3139.939,662.56,691.25,38.325,0
11933.137,1928.493,917.908,1463.141,352.749,699.583,38.27,0
6683.959,1617.266,740.42,1500.886,281.756,642.75,38.695,0
12859.576,2270.96,1120.931,1757.347,410.637,664.417,39.764,0
16701.491,1777.297,758.783,1500.664,286.762,657.833,39.616,0
13778.461,2068.862,885.561,1761.566,326.307,659.583,39.485,0
19428.533,2302.273,1176.369,3276.103,750.633,649.417,39.284,0
13561.105,2365.972,1077.984,2638.445,609.44,634.5,39.15,0
24212.957,2271.872,1115.209,2717.677,586.143,627.75,39.071,0
18853.946,2196.659,1177.522,2063.536,557.621,639.5,38.845,0
6967.339,1789.956,1338.678,2756.3,600.59,639.5,38.803,0
8383.529,1646.068,962.051,2231.946,447.473,654.5,38.777,0
8762.919,2509.387,1141.474,2298.362,522.822,662.917,38.697,0
6419.206,1698.215,865.425,1714.783,432.772,649.417,38.511,0
14956.735,2515.41,1276.725,3109.558,700.232,657.833,38.549,0
13641.474,2042.132,1092.285,2233.806,481.282,667.833,38.403,0
7529.06,1951.517,1029.652,1934.14,396.764,694.417,38.928,0
24721.482,2645.401,1312.923,2298.92,574.197,662.917,39.709,0
7182.745,2050.358,861.675,1995.639,399.328,686.167,39.517,0
26604.837,1992.042,1060.87,2188.873,501.822,659.5,39.312,0
18637.605,2326.756,1077.544,2355.971,544.643,631.167,39.121,0
17294.683,2129.488,1081.56,2168.821,449.393,622.833,38.931,0
9950.059,2797.984,1205.904,1969.31,396.454,656.167,38.828,0
8126.061,1948.918,1241.841,2289.398,439.539,657.833,38.712,0
7046.907,1968.01,1082.268,2204.817,436.57,679.583,38.621,0
7264.55,1909.117,961.173,2283.757,383.573,701.083,38.505,0
5829.27,2317.125,1096.695,2173.422,456.981,674.5,38.446,0
10501.824,2791.742,950.905,1744.268,356.273,686.167,38.255,0
13732.637,2264.226,1242.113,3689.798,925.959,666.167,38.241,0
14829.823,2241.991,1080.916,3157.315,686.025,712.75,38.226,0
6869.536,2031.853,1174.291,3163.459,691.596,657.667,38.066,0
11021.934,2398.167,1350.191,2882.097,633.307,704.5,37.964,0
10186.253,2061.526,1085.741,2856.814,603.246,707.75,37.993,0
17060.476,2448.219,1296.452,2879.664,738.106,709.417,37.977,0
8130.896,1927.115,1074.756,2296.875,530.186,672.75,37.786,0
11009.071,2434.547,1331.484,3031.841,537.759,649.333,39.31,0
14585.115,2487.913,1078.543,2857.997,577.833,644.167,40.85,0
13147.121,2113.388,1333.286,3025.375,607.777,697.833,40.865,0
22775.954,2750.068,1573.833,2761.196,718.028,694.5,40.91,0
6559.351,1884.264,1066.908,2434.134,627.943,682.75,40.865,0
19175.776,2238.339,1478.228,3348.854,812.339,666.167,40.85,0
13987.808,2475.378,1266.855,3397.891,794.917,671.167,40.806,0
17087.205,2232.387,1162.061,2323.031,440.39,667.833,40.82,0
18986.711,2155.59,1099.24,2010.572,397.023,659.417,40.776,0
27320.862,2284.561,1243.7,3238.267,780.573,632.833,40.85,0
11774.273,2177.921,1004.798,2947.3,611.814,644.5,40.763,0
8526.735,2301.312,1396.671,3123.356,809.758,661.25,40.734,0
14038.551,1747.457,1206.186,3193.763,689.906,666.167,40.792,0
14700.446,2910.757,1463.773,3075.123,761.92,621.167,40.85,0
19323.338,2909.69,1553.96,2996.872,670.238,702.833,40.761,0
8136.706,2168.801,1230.939,2671.677,572.89,694.5,40.777,0
9176.953,2318.262,1249.767,2605.187,581.906,689.417,40.747,0
24977.945,2330.823,1586.393,3448.135,719.339,684.5,40.706,0
7691.116,2540.551,1423.537,3055.853,665.602,679.583,40.69,0
