Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class
22288.163,2707.241,1379.113,2690.499,597.351,0
17317.775,2360.615,1211.988,2616.869,504.065,0
12751.226,2280.421,1047.241,1949.018,379.012,0
13143.129,2174.97,970.696,1938.921,386.065,0
12995.163,2114.244,1227.661,1955.58,408.047,0
7779.708,2447.251,1028.132,1803.256,348.582,0
7156.496,1962.121,824.445,1546.25,318.875,0
11205.772,3194.17,1588.119,4228.852,1035.54,0
21713.713,2987.659,1339.185,3026.681,643.523,0
6839.151,2213.859,1045.906,1763.571,376.777,0
13278.968,2431.289,1295.898,2450.84,548.533,0
17153.345,2217.545,1308.252,2116.104,418.368,0
9768.388,2247.873,1331.336,2895.68,606.592,0
14239.412,2253.857,1229.549,2117.842,352.136,0
12392.181,2126.258,1126.916,1884.951,367.4,0
16726.429,2822.875,1264.59,2007.001,412.055,0
16565.902,2348.94,999.425,1939.241,368.799,0
10615.035,2301.476,1241.433,2041.157,426.935,0
6695.023,1748.0,1011.767,1996.748,437.898,0
11029.972,1944.955,912.533,1654.952,298.157,0
14565.416,1851.545,944.923,1698.71,421.247,0
16483.047,2317.173,1170.504,2055.704,474.272,0
12891.349,2549.263,1411.534,2065.04,453.864,0
18736.678,2386.31,1326.811,2121.589,459.284,0
14035.419,2788.486,1413.38,2373.96,501.813,0
31600.094,3795.179,1522.652,2534.22,575.613,0
14107.472,2114.677,1171.262,2125.769,431.519,0
19260.802,2350.638,1467.862,2279.254,410.841,0
17399.69,2060.897,1000.697,2114.901,388.429,0
14125.402,2295.752,1101.964,1954.617,366.802,0
19549.862,2764.905,1716.696,3841.496,844.685,0
10818.9,2206.717,1227.495,2103.643,414.489,0
19251.547,3052.332,1058.395,1989.209,416.284,0
131004.699,10289.891,4557.715,7135.078,1502.761,0
64441.622,4597.326,2232.476,4646.541,1128.47,0
14055.755,2342.377,1354.427,2599.021,589.971,0
24589.134,2975.552,1183.39,2129.284,487.217,0
10351.512,2710.531,1163.526,1727.163,369.09,0
25303.285,2739.424,1344.553,1787.35,490.155,0
16012.923,2288.693,1064.94,1559.638,368.149,0
12797.522,2020.694,932.612,1425.621,348.478,0
17007.807,3103.146,1426.732,2074.458,442.663,0
7782.016,2267.413,1085.886,1615.93,350.006,0
23113.107,2455.773,1105.657,1653.497,404.728,0
22365.939,2448.171,1272.519,2124.361,498.854,0
29686.914,2509.61,1222.868,2867.219,645.478,0
34946.174,2719.169,1872.273,2570.289,575.97,0
20879.778,2519.411,1359.498,2080.534,428.676,0
19773.445,2677.331,1381.068,2909.38,676.278,0
22594.272,2298.032,1071.872,1943.834,525.158,0
19465.413,2053.798,1414.605,2264.082,533.312,0
22283.547,2548.889,1254.465,1949.767,503.033,0
6638.054,2735.227,1401.274,2129.59,395.995,0
81627.412,4916.283,2191.577,3946.369,843.26,0
18714.677,2409.78,1405.443,2369.288,456.186,0
7199.033,2127.598,983.883,1851.93,343.615,0
8595.67,2201.836,1052.23,1476.845,319.762,0
16627.233,2383.044,1046.118,1523.815,341.65,0
22587.089,2894.634,1375.199,1744.885,406.973,0
20851.351,2613.166,1051.042,1726.929,415.043,0
16595.115,2568.348,1407.69,2543.283,514.455,0
54137.552,3719.971,1986.732,3601.494,815.739,0
57792.34,3686.156,2205.76,4436.447,965.138,0
