Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class,Rdelta,Rtheta,Ralpha,Rbeta,Rgamma,,(Theta+alpha)/beta,Alpha/beta,(Theta+alpha)/(alpha+beta),Theta/beta,,rdelta,rtheta,ralpha,rbeta
20631.177,2226.929,1454.717,2960.149,493.021,0,0.743037607,0.08020347,0.052392039,0.106610594,0.017756289,,1.653239057,0.491433708,0.709772631,0.752303009,,,0.335290234,0.219024676,0.44568509
16693.427,2712.452,1263.77,2607.514,490.038,0,0.702372442,0.114125849,0.053172858,0.109710605,0.020618246,,1.465914236,0.484664704,0.747414927,1.040244463,,,0.411992826,0.191953323,0.396053851
10367.811,2791.698,1207.6,1970.001,376.052,0,0.62033809,0.167035897,0.07225443,0.117871232,0.02250035,,1.432568279,0.612994613,0.839888872,1.417104864,,,0.46767602,0.202301811,0.330022168
18460.76,2203.486,1249.411,2039.441,427.439,0,0.75719251,0.090378895,0.051246246,0.083650372,0.017531976,,1.567015629,0.612624244,0.813800709,1.080436257,,,0.401192716,0.22748254,0.371324744
8041.901,1823.426,899.85,1279.115,279.27,0,0.652563033,0.147962578,0.073018661,0.10379426,0.022661468,,1.493494115,0.703494213,0.877756652,1.425537188,,,0.455584175,0.224828109,0.319587716
14087.732,2573.036,927.917,1803.045,374.556,0,0.712715176,0.130172962,0.046944429,0.091218199,0.018949235,,1.360631177,0.514638847,0.800020155,1.427050351,,,0.485112551,0.17494671,0.339940739
18746.819,2498.057,1622.925,3947.171,782.109,0,0.679304416,0.090518885,0.05880785,0.143028569,0.02834028,,1.649674927,0.411161564,0.639384984,0.632872759,,,0.309619438,0.201151986,0.489228576
15343.164,1905.115,967.797,1624.299,302.578,0,0.761713737,0.094579727,0.048046431,0.080638574,0.015021531,,1.507999255,0.595824414,0.813991218,1.172884426,,,0.42362144,0.215199376,0.361179184
10074.535,2079.027,828.732,1558.949,322.472,0,0.677793876,0.139872636,0.055755375,0.104882864,0.021695249,,1.398615314,0.531596608,0.799279325,1.333608091,,,0.465449499,0.185535298,0.349015203
16870.725,1741.156,822.272,1558.766,294.251,0,0.792530195,0.081793681,0.038627586,0.07322561,0.013822927,,1.472256363,0.527514714,0.776814725,1.117009224,,,0.422385749,0.199474358,0.378139893
15766.081,2073.765,1055.726,2599.99,638.196,0,0.71230927,0.093692404,0.047697549,0.117467174,0.028833603,,1.509086613,0.406050023,0.669588158,0.797604991,,,0.361946396,0.184262065,0.453791539
19419.373,2049.27,929.415,1817.925,349.019,0,0.79053008,0.083422342,0.037834925,0.074004675,0.014207978,,1.453534673,0.511250464,0.770244324,1.127257725,,,0.427232983,0.193764972,0.379002045
20994.307,2601.485,1189.4,2043.059,415.34,0,0.770614527,0.095489798,0.043657974,0.07499228,0.01524542,,1.457200407,0.582166252,0.816201763,1.273328377,,,0.445922175,0.2038758,0.350202025
11349.271,1700.458,984.182,1609.384,348.528,0,0.709692135,0.106332968,0.061542827,0.100637932,0.021794138,,1.57877466,0.611527143,0.811108204,1.056589353,,,0.396005705,0.229198067,0.374796228
11750.651,2214.13,861.45,1665.312,365.808,0,0.69706391,0.131345073,0.051102335,0.098788475,0.021700207,,1.389069296,0.517290454,0.792789272,1.329558665,,,0.467028146,0.181706312,0.351265542
10876.688,2214.146,885.533,1786.995,427.657,0,0.671772913,0.136751492,0.054692852,0.11036952,0.026413223,,1.399943364,0.495543077,0.774698767,1.239033125,,,0.453098774,0.181213848,0.365687378
10265.487,1866.028,1057.219,1635.267,373.122,0,0.675488841,0.122788241,0.069567049,0.107603722,0.024552147,,1.566561166,0.646511548,0.834904514,1.141115182,,,0.409350065,0.23192185,0.358728086
12949.667,2075.393,876.199,1586.674,363.148,0,0.725427609,0.116261475,0.049083806,0.088883917,0.020343194,,1.422184618,0.552223708,0.805990715,1.308014753,,,0.457309686,0.193069115,0.349621199
29652.635,2035.239,1316.341,2087.232,467.373,0,0.833903797,0.057235842,0.037018692,0.058698011,0.013143659,,1.646774654,0.630663482,0.813002687,0.975089976,,,0.374206536,0.242027303,0.383766161
14554.355,2535.586,734.796,1204.352,289.456,0,0.753387742,0.131251396,0.038035784,0.062341755,0.014983323,,1.289793365,0.610117308,0.874448186,2.10535292,,,0.566645079,0.164209984,0.269144937
28492.699,2426.426,1501.312,2289.562,485.608,0,0.809552709,0.068941161,0.042656233,0.065052494,0.013797404,,1.618733891,0.655720177,0.832855809,1.059777372,,,0.390270053,0.241473308,0.368256639
21004.365,2092.527,1099.863,1633.053,331.247,0,0.802886772,0.079986338,0.042041997,0.062423056,0.012661836,,1.525614723,0.673501105,0.856884029,1.281358903,,,0.433644538,0.227929954,0.338425508
23598.271,2364.394,1241.372,2367.056,468.624,0,0.785569019,0.078708931,0.041324357,0.078797547,0.015600147,,1.525027555,0.524437107,0.762084773,0.998875396,,,0.395858775,0.207836765,0.39630446
11116.051,1993.208,1200.493,2460.79,502.367,0,0.643554077,0.115395039,0.069501495,0.142465291,0.029084099,,1.602291883,0.487848618,0.717041409,0.809987037,,,0.352499986,0.212307881,0.435192133
12353.559,2422.735,1174.896,2541.305,511.992,0,0.650033805,0.127482262,0.061822032,0.133721315,0.026940585,,1.484946146,0.46231995,0.724738519,0.953342869,,,0.394650637,0.191384305,0.413965058
19852.689,2837.123,887.934,2242.209,553.951,0,0.75273981,0.107573107,0.033667141,0.08501619,0.021003753,,1.312969864,0.396008579,0.733375373,1.265324954,,,0.475447718,0.148800808,0.375751475
18392.053,2413.76,1357.771,3047.891,659.784,0,0.710906763,0.0932989,0.052481829,0.117809922,0.025502586,,1.562512843,0.445478857,0.690547785,0.791944331,,,0.353953752,0.199103531,0.446942717
18925.688,2268.374,774.01,1784.258,420.541,0,0.782930915,0.09383966,0.03201978,0.073812416,0.01739723,,1.341217983,0.433799372,0.750718052,1.271326232,,,0.469969391,0.160362007,0.369668602
18966.227,2291.443,1277.877,2474.168,442.116,0,0.745181241,0.090030576,0.050207665,0.097209824,0.017370695,,1.557673483,0.516487563,0.748974266,0.926146891,,,0.379159022,0.211446933,0.409394045
18610.376,2101.136,1116.305,2273.036,459.419,0,0.757743074,0.085550193,0.045451655,0.092549301,0.018705778,,1.531286409,0.491107488,0.735554295,0.924374273,,,0.382687333,0.203316579,0.413996088
23104.499,2655.948,1309.168,2435.006,580.442,0,0.767972432,0.088281284,0.043515548,0.080937374,0.019293362,,1.492919289,0.537644671,0.778855201,1.090735711,,,0.414983964,0.204553601,0.380462435
7853.484,1780.317,815.291,1687.44,365.397,0,0.628181779,0.142403384,0.065213216,0.134974371,0.02922725,,1.457947096,0.483152586,0.74849766,1.055040179,,,0.4156659,0.190352992,0.393981109
11964.843,1955.158,1009.988,1987.666,449.662,0,0.688928693,0.112576859,0.058154521,0.114448651,0.025891276,,1.516576154,0.508127623,0.752036104,0.98364514,,,0.39475716,0.203922136,0.401320704
8068.787,2180.326,1166.599,2374.609,518.733,0,0.563893812,0.152373875,0.08152873,0.165951502,0.036252082,,1.535057143,0.491280459,0.734790947,0.918183162,,,0.381073677,0.203896193,0.41503013
21936.676,2549.483,951.017,2102.777,458.927,0,0.783484054,0.091056607,0.033966252,0.075102183,0.016390906,,1.373023472,0.452267169,0.752430002,1.212436221,,,0.454998566,0.169725145,0.375276289
11081.705,2583.349,1349.608,2681.428,546.258,0,0.607471418,0.141612746,0.073982143,0.146989192,0.029944501,,1.522425735,0.503316889,0.747032021,0.963422848,,,0.39056526,0.204041343,0.405393396
9699.754,2160.401,1453.299,3671.368,888.822,0,0.542684749,0.120870764,0.081309609,0.205406799,0.04972808,,1.672698726,0.395846725,0.619657603,0.588445778,,,0.296551933,0.199490108,0.503957959
12281.487,2022.89,1237.015,3063.728,523.685,0,0.642041518,0.105750987,0.064667657,0.160163063,0.027376775,,1.611508782,0.403761365,0.640878674,0.660270755,,,0.319893643,0.195617772,0.484488584
10759.075,2476.929,1294.356,2821.403,482.893,0,0.603267874,0.138882914,0.072575327,0.158197781,0.027076104,,1.522564837,0.458763247,0.711787219,0.877906843,,,0.375708512,0.196332058,0.42795943
12178.491,1904.747,1451.549,2525.364,474.456,0,0.657067668,0.102767056,0.078315607,0.136251284,0.025598385,,1.762069188,0.574788031,0.757609911,0.754246517,,,0.323845139,0.246792402,0.429362459
7652.219,2283.491,938.544,1654.035,328.71,0,0.595179248,0.177606843,0.072998683,0.128648606,0.025566619,,1.411012787,0.567426929,0.8182892,1.380557848,,,0.468305623,0.192479599,0.339214777
23573.298,2822.154,1360.768,3099.542,724.154,0,0.746464873,0.089365469,0.043089665,0.098149153,0.02293084,,1.482173545,0.439022281,0.706372296,0.910506778,,,0.387527353,0.186855438,0.425617209
31619.202,2504.983,1077.802,2378.161,521.975,0,0.829854074,0.065743922,0.02828719,0.062415446,0.013699368,,1.430263199,0.453208172,0.733704556,1.05332776,,,0.42023246,0.180810563,0.398956978
19776.099,2605.625,1333.807,2717.018,646.796,0,0.73030197,0.096221862,0.049255512,0.10033544,0.023885216,,1.511895227,0.490908415,0.740127038,0.959001744,,,0.391443637,0.200378129,0.408178233
19334.84,2214.16,1147.921,2443.678,470.133,0,0.754950698,0.086454382,0.044821874,0.095416172,0.018356875,,1.51844537,0.469751334,0.721811493,0.906076824,,,0.381373047,0.19772109,0.420905863
9775.891,2140.693,1067.462,2239.817,532.586,0,0.620437448,0.135861386,0.067747625,0.142152397,0.033801144,,1.498652539,0.476584471,0.732370203,0.955744599,,,0.392933921,0.195937497,0.411128581
26711.63,2236.297,1038.62,2302.54,557.012,0,0.813235995,0.068084097,0.031620802,0.070100866,0.016958239,,1.464437416,0.451075768,0.72153219,0.971230467,,,0.4009528,0.186217482,0.412829718
9832.142,2403.697,1105.221,2161.87,492.655,0,0.614678488,0.150272528,0.069095379,0.135154169,0.030799436,,1.459800466,0.511233793,0.768561276,1.111860103,,,0.423873543,0.194897252,0.381229205
21741.882,1866.824,1220.422,2393.501,665.542,0,0.779609462,0.066939635,0.043761278,0.085824954,0.02386467,,1.653742399,0.509889906,0.724650349,0.779955388,,,0.340614883,0.222674391,0.436710726
