Theta,Alpha,Beta,Delta,Class
0.107112858,0.046864729,0.127401421,0.023173837,0
0.08020347,0.052392039,0.106610594,0.017756289,0
0.114125849,0.053172858,0.109710605,0.020618246,0
0.167035897,0.07225443,0.117871232,0.02250035,0
0.090378895,0.051246246,0.083650372,0.017531976,0
0.147962578,0.073018661,0.10379426,0.022661468,0
0.130172962,0.046944429,0.091218199,0.018949235,0
0.090518885,0.05880785,0.143028569,0.02834028,0
0.094579727,0.048046431,0.080638574,0.015021531,0
0.139872636,0.055755375,0.104882864,0.021695249,0
0.081793681,0.038627586,0.07322561,0.013822927,0
0.093692404,0.047697549,0.117467174,0.028833603,0
0.083422342,0.037834925,0.074004675,0.014207978,0
0.095489798,0.043657974,0.07499228,0.01524542,0
0.106332968,0.061542827,0.100637932,0.021794138,0
0.131345073,0.051102335,0.098788475,0.021700207,0
0.136751492,0.054692852,0.11036952,0.026413223,0
0.122788241,0.069567049,0.107603722,0.024552147,0
0.116261475,0.049083806,0.088883917,0.020343194,0
0.057235842,0.037018692,0.058698011,0.013143659,0
0.131251396,0.038035784,0.062341755,0.014983323,0
0.068941161,0.042656233,0.065052494,0.013797404,0
0.087002495,0.062394291,0.121361981,0.02615577,0
0.079986338,0.042041997,0.062423056,0.012661836,0
0.148367388,0.05709905,0.079680204,0.015922774,0
0.078708931,0.041324357,0.078797547,0.015600147,0
0.115395039,0.069501495,0.142465291,0.029084099,0
0.127482262,0.061822032,0.133721315,0.026940585,0
0.091826221,0.038303567,0.071497055,0.018047731,0
0.172934184,0.070525067,0.171132245,0.027906968,0
0.053085079,0.024336187,0.042773674,0.009752634,0
0.107573107,0.033667141,0.08501619,0.021003753,0
0.0932989,0.052481829,0.117809922,0.025502586,0
0.09383966,0.03201978,0.073812416,0.01739723,0
0.090030576,0.050207665,0.097209824,0.017370695,0
0.085550193,0.045451655,0.092549301,0.018705778,0
0.077476734,0.049678064,0.117214058,0.028723816,0
0.088281284,0.043515548,0.080937374,0.019293362,0
0.142403384,0.065213216,0.134974371,0.02922725,0
0.112576859,0.058154521,0.114448651,0.025891276,0
0.152373875,0.08152873,0.165951502,0.036252082,0
0.085520993,0.06516109,0.229096514,0.054717202,0
0.105828309,0.060098224,0.092905286,0.019987451,0
0.091056607,0.033966252,0.075102183,0.016390906,0
0.141612746,0.073982143,0.146989192,0.029944501,0
0.120870764,0.081309609,0.205406799,0.04972808,0
0.105750987,0.064667657,0.160163063,0.027376775,0
0.138882914,0.072575327,0.158197781,0.027076104,0
0.102767056,0.078315607,0.136251284,0.025598385,0
0.177606843,0.072998683,0.128648606,0.025566619,0
0.089365469,0.043089665,0.098149153,0.02293084,0
0.065743922,0.02828719,0.062415446,0.013699368,0
0.096221862,0.049255512,0.10033544,0.023885216,0
0.086454382,0.044821874,0.095416172,0.018356875,0
0.149968963,0.070095412,0.096214887,0.023425532,0
0.135861386,0.067747625,0.142152397,0.033801144,0
0.068084097,0.031620802,0.070100866,0.016958239,0
0.051964162,0.027498494,0.060292835,0.015174431,0
0.150272528,0.069095379,0.135154169,0.030799436,0
0.066939635,0.043761278,0.085824954,0.02386467,0
0.055133668,0.036206225,0.111448957,0.023693542,0
0.112773692,0.057062307,0.118438909,0.031238331,0
0.085403929,0.055458699,0.15104948,0.030206037,0
0.095233755,0.0711784,0.116409904,0.024090978,0
